"var","W","p","log.W","log.p","sqrt.W","sqrt.p","squared.W","squared.p"
"PATCH_AREA",0.91650767803563,0.0426838877656584,0.935129979008485,0.11420742151194,0.93508767017995,0.113950190932226,0.847774549429164,0.00159843898574768
"PATCH_GYRA",0.950261169905884,0.254145207986134,0.932952741491477,0.101697749376246,0.944464902919231,0.187583216532711,0.947401867283359,0.218944065558198
"PATCH_SHAP",0.844867381665735,0.00140949352091243,0.883184297605461,0.00804428531898457,0.86542646462117,0.00350690789838696,0.796332208969208,0.000197591704759794
"PLAND_SF",0.897647113492298,0.0163107718552059,0.665344866025995,2.57635992211352e-06,0.919430423010536,0.0497264024362899,0.733932093084594,2.16033954937188e-05
"DIST_SEC_F",0.824537017615694,0.000600672592764305,0.847107541906533,0.00155282750764222,0.918449554589228,0.047237622520575,0.659863434902333,2.19842064828629e-06
"DIST_RIP_F",0.92661298884409,0.0726088865191898,0.743099827777087,2.93536431886481e-05,0.929087638399918,0.0827954946755249,0.781797982553694,0.000114714810194874
"DIST_ROAD",0.710814614633478,1.02238301527793e-05,0.967047055099876,0.571472187164507,0.879303035156411,0.00668577582624091,0.491854735100556,3.1112938954199e-08
"PD",0.912159565904697,0.0340657249161034,0.926740630174209,0.0731015828139237,0.946735552334957,0.211421631553326,0.770782111745447,7.68932234311433e-05
"LPI",0.892477372753597,0.0126287929659368,0.929150781973163,0.0830736867921282,0.915618564847721,0.040753348188714,0.829483203395328,0.000736103700603712
"EDGE",0.920068865797595,0.051418906778094,NA,NA,0.955466888929357,0.331597956415368,0.74867282090557,3.54696644518795e-05
"AREA_WM",0.879815256944241,0.00685021916976427,0.943845675778149,0.181541811913018,0.922740009699971,0.0591714802203869,0.770271973977344,7.55001490599947e-05
"GYRATE_WM",0.92538927681273,0.0680544228088139,0.949252314106266,0.241167920982494,0.939144358028859,0.141441858641041,0.889607751727218,0.0109735352796641
"SHAPE_WM",0.922887905165986,0.0596344360205407,0.938393996102512,0.135902439075601,0.931841360206811,0.0958537041479791,0.898523649277313,0.0170398034953183
"CWED",0.905856208796327,0.0246605538930861,NA,NA,0.960393204047157,0.422362298340234,0.712999262782867,1.09568125203164e-05
"ECON_AM",0.948401680828589,0.230703429653602,NA,NA,0.833319285486134,0.000863401605386052,0.920086530974648,0.0514665750757799
"CONTAG",0.804883187795894,0.000274536316937218,0.855462275071254,0.00224011712816692,0.83083273923317,0.000778448730500085,0.752121321560789,3.99217153735944e-05
"PR",0.949808371653065,0.248243484496344,0.907064157810938,0.0262259547320844,0.94696008252296,0.213928894835937,0.871031233229031,0.00453738528785755
"SIDI",0.84724235421169,0.0015619335094589,NA,NA,0.740702320695392,2.70768297154941e-05,0.923819238384404,0.0626367232376035
"SIEI",0.767113198798757,6.74503238543226e-05,NA,NA,0.6801263576568,3.98247112001368e-06,0.87449426755282,0.00533105015111613
