blocks,cultivar,nrate ,nsource , yield
1,Blaine Creek ,N120,N2,222.8195938
2,Pronghorn,N40,N1,633.213859
1,Blaine Creek ,N00,N1,127.8375149
2,Pronghorn,N00,N1,681.6009558
1,Blaine Creek ,N00,N2,234.7670251
2,Blaine Creek ,N40,N2,489.8446834
1,Blaine Creek ,N80,N2,83.63201912
2,Pronghorn,N80,N2,690.5615293
1,Blaine Creek ,N80,N1,299.2831541
2,Blaine Creek ,N00,N2,910.3942652
1,Pronghorn,N40,N2,330.3464755
2,Pronghorn,N40,N2,1157.706093
1,Pronghorn,N80,N2,289.7252091
2,Blaine Creek ,N00,N1,450.4181601
1,Pronghorn,N00,N1,89.60573477
2,Pronghorn,N120,N2,659.4982079
1,Blaine Creek ,N120,N1,131.4217443
2,Pronghorn,N00,N2,1063.918757
1,Pronghorn,N120,N2,545.4002389
2,Blaine Creek ,N80,N2,1295.101553
1,Pronghorn,N40,N1,434.8864994
2,Blaine Creek ,N120,N1,1715.651135
1,Blaine Creek ,N40,N1,262.8434886
2,Blaine Creek ,N120,N2,1244.922342
1,Pronghorn,N120,N1,252.688172
2,Blaine Creek ,N80,N1,1402.031063
1,Blaine Creek ,N40,N2,215.651135
2,Pronghorn,N80,N1,1250.896057
1,Pronghorn,N00,N2,231.7801673
2,Pronghorn,N120,N1,1517.921147
1,Pronghorn,N80,N1,491.0394265
2,Blaine Creek ,N40,N1,1615.890084
4,Blaine Creek ,N120,N2,617.0848268
3,Blaine Creek ,N40,N2,1022.102748
4,Pronghorn,N40,N2,665.4719235
3,Pronghorn,N40,N1,1031.063321
4,Blaine Creek ,N00,N2,313.6200717
3,Blaine Creek ,N120,N1,1250.896057
4,Blaine Creek ,N80,N1,948.0286738
3,Pronghorn,N80,N2,1175.029869
4,Pronghorn,N00,N1,150.5376344
3,Pronghorn,N40,N2,710.2747909
4,Blaine Creek ,N00,N1,31.06332139
3,Pronghorn,N120,N1,1918.160096
4,Pronghorn,N00,N2,206.9892473
3,Blaine Creek ,N120,N2,2479.091995
4,Pronghorn,N80,N1,896.6547192
3,Blaine Creek ,N00,N2,1894.265233
4,Pronghorn,N120,N2,571.0872162
3,Pronghorn,N80,N1,2409.199522
4,Blaine Creek ,N40,N2,902.6284349
3,Blaine Creek ,N80,N1,2422.939068
4,Blaine Creek ,N80,N2,1547.192354
3,Blaine Creek ,N00,N1,1004.181601
4,Blaine Creek ,N120,N1,1320.191159
3,Blaine Creek ,N80,N2,2439.0681
4,Pronghorn,N120,N1,536.4396655
3,Pronghorn,N120,N2,2311.230585
4,Pronghorn,N40,N1,553.7634409
3,Blaine Creek ,N40,N1,719.2353644
4,Pronghorn,N80,N2,1342.891278
3,Pronghorn,N00,N2,1147.550777
4,Blaine Creek ,N40,N1,647.5507766
3,Pronghorn,N00,N1,530.4659498
