altid,LMT_Date,LMT_Time,DOP,elevation,slope,sin_aspect,cos_aspect,veg_class,used
22952,5/3/2017,0:00,3.6,1587.89,38.5002,1.07228,0.00261587,Shrubland,1
22952,5/2/2017,4:00,2.4,1747.64,52.2412,1.60414,1.79687,Shrubland,1
22952,5/2/2017,8:00,3,1747.64,52.2412,1.60414,1.79687,Shrubland,1
22952,5/2/2017,12:00,5.4,1754.66,104.97,1.76039,1.64947,Shrubland,1
22952,5/2/2017,16:00,3,1768.73,59.9876,1.74914,0.337583,Shrubland,1
22952,5/2/2017,20:00,2.6,1764.44,75.7124,0.363585,0.228653,Shrubland,1
22952,5/3/2017,20:00,2.6,1601.53,37.8016,0.00880325,0.867603,Shrubland,1
22952,5/16/2017,20:01,4,1540.41,15.9372,0.722795,1.96081,Shrubland,1
20022,6/15/2016,20:00,2,1598.6,38.9393,0.329554,1.74196,Shrubland,1
20022,6/16/2016,20:00,1.8,1581.42,68.5704,0.561728,1.89884,Shrubland,1
20038_17,5/13/2017,20:01,2,1553.44,52.7711,0.981974,0.000162482,Shrubland,1
22951,5/11/2017,20:00,2,1535.17,46.0362,0.391642,0.206337,Shrubland,1
22951,5/12/2017,0:00,4.2,1583.81,58.3054,0.286233,1.70038,Shrubland,1
22951,5/13/2017,20:00,1.8,1553.44,52.7711,0.981974,0.000162482,Shrubland,1
22952,5/2/2017,0:00,5.6,1615.1,22.9633,0.0491736,1.30972,Open Tree Canopy,1
22952,5/3/2017,4:00,2.4,1658.47,56.0948,1.99999,1.00526,Shrubland,1
22952,5/13/2017,20:00,1.8,1556.49,47.1745,0.672161,1.94473,Shrubland,1
22952,5/14/2017,16:00,4.8,1587.15,49.2385,1.46783,1.88382,Shrubland,1
22952,5/14/2017,20:00,2.4,1578.14,31.9661,0.274115,0.312184,Shrubland,1
22952,5/15/2017,20:00,2.2,1535.06,58.289,0.91807,1.99664,Shrubland,1
22952,5/17/2017,0:00,2.6,1537.87,27.7978,1.95262,0.695834,Shrubland,1
22952,5/17/2017,16:00,1.8,1554.17,59.919,1.99723,1.07438,Shrubland,1
22952,5/17/2017,20:00,2,1540.98,73.1234,0.052353,1.31932,Shrubland,1
22952,5/18/2017,0:00,2.4,1547.88,50.8605,0.852048,1.98899,Shrubland,1
22952,5/18/2017,20:01,3.2,1574.14,52.7073,0.299785,0.286068,Shrubland,1
22952,5/19/2017,0:00,3,1581.22,34.839,0.771102,1.97345,Shrubland,1
22952,5/19/2017,20:00,1.8,1570.8,30.2031,1.94285,0.666794,Shrubland,1
22952,5/20/2017,20:00,3.6,1511.28,8.36816,1.11895,1.9929,Shrubland,1
22952,5/24/2017,20:00,2.6,1522.51,36.141,1.87737,0.520186,Shrubland,1
22952,5/25/2017,16:01,3,1551.59,47.8501,0.76451,0.0281233,Shrubland,1
22952,5/25/2017,20:00,2.6,1559.2,18.1152,1.70718,0.292963,Shrubland,1
22952,5/26/2017,20:00,2.6,1518.71,35.5494,1.43924,1.89837,Shrubland,1
20022,6/15/2016,16:00,3.6,1588.69,68.2024,0.531828,1.88364,Shrubland,1
20022,6/16/2016,16:00,2.2,1682.3,79.1741,0.298881,1.71304,Shrubland,1
20022,6/17/2016,0:00,4.4,1647.29,66.8076,0.92812,0.00258666,Shrubland,1
20022,6/17/2016,20:00,2.2,1612.87,41.657,0.295067,1.70927,Shrubland,1
20034,6/15/2016,20:00,2,1569.34,29.0451,1.13353,0.00895482,Shrubland,1
20038_17,4/29/2017,0:01,3.4,1559.25,48.3345,0.173027,0.437759,Shrubland,1
20038_17,4/29/2017,8:00,2.6,1703.59,101.496,0.638755,1.93247,Shrubland,1
20038_17,5/11/2017,20:00,1.8,1622.05,73.173,0.975357,0.000303686,Shrubland,1
20038_17,5/12/2017,0:00,3.4,1639.28,36.0585,0.144123,1.51718,Shrubland,1
20038_17,5/12/2017,20:00,1.8,1597.85,48.4431,1.56607,0.175641,Shrubland,1
20038_17,5/13/2017,0:00,2.4,1657.04,61.2135,0.76095,0.0289927,Shrubland,1
22951,5/12/2017,20:00,2.6,1597.85,28.7855,0.766126,0.0277331,Shrubland,1
22951,5/13/2017,0:00,2.4,1657.04,61.2135,0.76095,0.0289927,Shrubland,1
22952,4/28/2017,20:01,3.2,1638.65,47.3826,1.99839,1.05677,Shrubland,1
22952,5/1/2017,20:00,2,1652.14,33.1503,1.25078,1.96804,Shrubland,1
22952,5/14/2017,0:00,2.8,1595.91,100.855,1.01069,1.99994,Shrubland,1
22952,5/18/2017,4:00,7,1680.06,102.968,1.79822,0.397635,Shrubland,1
22952,5/18/2017,12:00,2.4,1680.06,102.968,1.79822,0.397635,Shrubland,1
22952,5/18/2017,16:00,2,1608.63,142.607,0.999573,2,Shrubland,1
22952,5/20/2017,0:00,2.2,1596.07,68.8222,0.131816,0.503758,Shrubland,1
22952,5/20/2017,4:01,2.6,1679.97,87.9179,1.73156,0.318224,Shrubland,1
22952,5/20/2017,8:00,3.6,1675.03,94.165,0.499906,1.86597,Shrubland,1
22952,5/20/2017,12:00,2.6,1699.89,130.749,0.910644,0.00400031,Shrubland,1
22952,5/25/2017,8:00,2.2,1678.83,101.741,1.03732,1.9993,Shrubland,1
22952,5/25/2017,12:00,2.4,1678.83,101.741,1.03732,1.9993,Shrubland,1
22952,5/26/2017,0:00,2.4,1580.43,71.44,0.943916,1.99843,Shrubland,1
