# Burnham and Cushwa snowshoe hare captures
# Session ID Occasion Detector 
wickershamunburne  1 2 0201
wickershamunburne 19 1 0501
wickershamunburne 72 5 0601
wickershamunburne 73 6 0601
wickershamunburne  2 2 0701
wickershamunburne 60 3 0701
wickershamunburne 20 1 0901
wickershamunburne 47 2 0901
wickershamunburne 20 4 0901
wickershamunburne 20 3 1001
wickershamunburne 51 4 0202
wickershamunburne 74 6 0202
wickershamunburne 51 2 0302
wickershamunburne  1 5 0402
wickershamunburne 29 6 0402
wickershamunburne 19 5 0502
wickershamunburne  3 5 0602
wickershamunburne 50 2 0702
wickershamunburne  3 4 0702
wickershamunburne 21 1 0902
wickershamunburne 61 6 0902
wickershamunburne 48 2 1002
wickershamunburne 68 6 1002
wickershamunburne 41 6 0203
wickershamunburne 46 2 0303
wickershamunburne 29 5 0303
wickershamunburne 42 5 0403
wickershamunburne 43 4 0503
wickershamunburne  3 6 0503
wickershamunburne 68 5 0603
wickershamunburne 43 6 0603
wickershamunburne 17 2 0803
wickershamunburne 44 4 0803
wickershamunburne 17 6 0803
wickershamunburne 22 1 0903
wickershamunburne 45 2 1003
wickershamunburne 61 4 1003
wickershamunburne 45 5 1003
wickershamunburne 62 4 0104
wickershamunburne 23 1 0304
wickershamunburne 42 2 0304
wickershamunburne 29 4 0304
wickershamunburne 46 6 0304
wickershamunburne 58 3 0404
wickershamunburne 43 2 0504
wickershamunburne 26 4 0704
wickershamunburne 26 5 0704
wickershamunburne 44 2 0804
wickershamunburne 17 4 0804
wickershamunburne 67 5 0804
wickershamunburne 22 4 0904
wickershamunburne 26 6 0904
wickershamunburne 24 1 1004
wickershamunburne 59 3 1004
wickershamunburne 24 6 1004
wickershamunburne 58 6 0205
wickershamunburne 10 4 0305
wickershamunburne 10 6 0305
wickershamunburne 25 1 0405
wickershamunburne 29 2 0405
wickershamunburne 62 6 0405
wickershamunburne 41 2 0505
wickershamunburne 10 3 0505
wickershamunburne 25 4 0605
wickershamunburne 18 5 0605
wickershamunburne 26 1 0705
wickershamunburne 26 2 0705
wickershamunburne 26 3 0705
wickershamunburne 57 3 0805
wickershamunburne 27 1 1005
wickershamunburne 37 4 1005
wickershamunburne 15 6 1005
wickershamunburne  4 3 0106
wickershamunburne 66 5 0106
wickershamunburne 56 3 0206
wickershamunburne 55 3 0306
wickershamunburne 66 4 0306
wickershamunburne 40 5 0306
wickershamunburne 29 1 0406
wickershamunburne 40 2 0406
wickershamunburne 29 3 0406
wickershamunburne 40 6 0406
wickershamunburne 28 1 0506
wickershamunburne 16 4 0506
wickershamunburne 41 5 0506
wickershamunburne 10 2 0606
wickershamunburne 41 4 0606
wickershamunburne 70 5 0706
wickershamunburne 30 1 0806
wickershamunburne 30 2 0806
wickershamunburne 30 5 0806
wickershamunburne 57 6 0806
wickershamunburne 31 1 1006
wickershamunburne 12 4 1006
wickershamunburne  4 6 0107
wickershamunburne 54 4 0207
wickershamunburne 16 6 0407
wickershamunburne 18 3 0507
wickershamunburne 32 1 0607
wickershamunburne  4 2 0607
wickershamunburne 54 3 0607
wickershamunburne 18 4 0607
wickershamunburne 75 6 0607
wickershamunburne 33 1 0707
wickershamunburne 39 2 0707
wickershamunburne 65 4 0807
wickershamunburne  5 6 0807
wickershamunburne 38 2 0907
wickershamunburne 31 5 1007
wickershamunburne 36 6 0108
wickershamunburne 18 2 0308
wickershamunburne 36 3 0308
wickershamunburne 18 6 0308
wickershamunburne 36 2 0408
wickershamunburne  4 4 0408
wickershamunburne 54 6 0408
wickershamunburne 34 1 0708
wickershamunburne 33 4 0708
wickershamunburne 33 6 0708
wickershamunburne  5 2 0808
wickershamunburne 34 3 0808
wickershamunburne 33 5 0808
wickershamunburne 70 6 0808
wickershamunburne 37 2 0908
wickershamunburne 38 3 0908
wickershamunburne 69 5 0908
wickershamunburne 38 6 0908
wickershamunburne 21 3 1008
wickershamunburne 71 5 0409
wickershamunburne 52 6 0409
wickershamunburne  6 2 0509
wickershamunburne  6 5 0509
wickershamunburne 32 6 0509
wickershamunburne 53 3 0709
wickershamunburne  5 4 0809
wickershamunburne 34 5 0809
wickershamunburne 64 6 0809
wickershamunburne 63 4 0310
wickershamunburne 35 2 0410
wickershamunburne 52 5 0410
wickershamunburne 32 2 0510
wickershamunburne 52 3 0510
wickershamunburne  6 6 0510
wickershamunburne  6 3 0610
wickershamunburne 64 4 0610
