Date,Lab Topic,Final Project Timeline
Aug. 28,Introduction to R software (and Rstudio IDE) and algorithmic analysis methods,Start organizing into groups and gathering dataset(s)
Sept. 4,Programming algorithms in R (continued),
Sept. 11,Final project #1,Organize in groups around project themes and locate suitable data sets for analysis
Sept. 18,"""Virtual Ecologist"" lab ",Work on one-page project description
Sept. 25,"""Virtual Ecologist"" lab ",DUE: one-page descriptions of project ideas
Oct. 2,Maximum likelihood,Review proposals with instructor/TA 
Oct. 9,Maximum likelihood and project work,Start running analyses and generating figures
Oct. 16,"Final project #2 (and digression: graphics in R, generating publication-quality figures)",
Oct. 23,Bayesian model fitting in JAGS,
Oct. 30,Bayesian model fitting in JAGS,
Nov. 6,Model selection and performance evaluation (including cross-validation),
Nov. 13,Final project #3,
Nov. 20,Final project #4,
Nov. 27,"Complete ""mini-lab"" assignments provided by peers",
Dec. 4,Final project presentations,Final project complete draft due
Dec. 17,,Final projects due
