PRISM Time Series Data
Location:  Lat: 39.5322   Lon: -119.7975   Elev: 4505ft
Climate variable: tmean
Spatial resolution: 4km
Period: 1895-11 - 2016-10
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2016-Nov-21
details: http://rma.nacse.org/documents/PRISM_datasets.pdf
Date,tmean (degrees F)
1895-11, 38.3
1895-12, 31.8
1896-01, 37.1
1896-02, 38.6
1896-03, 40.7
1896-04, 38.2
1896-05, 48.1
1896-06, 65.2
1896-07, 71.6
1896-08, 67.4
1896-09, 59.4
1896-10, 52.9
1896-11, 39.1
1896-12, 37.6
1897-01, 31.0
1897-02, 28.5
1897-03, 32.9
1897-04, 49.1
1897-05, 59.1
1897-06, 61.4
1897-07, 68.0
1897-08, 70.3
1897-09, 57.7
1897-10, 48.8
1897-11, 42.2
1897-12, 31.5
1898-01, 23.0
1898-02, 39.2
1898-03, 36.9
1898-04, 51.5
1898-05, 52.4
1898-06, 63.1
1898-07, 70.7
1898-08, 73.0
1898-09, 61.7
1898-10, 47.9
1898-11, 40.1
1898-12, 29.5
1899-01, 33.6
1899-02, 35.6
1899-03, 39.3
1899-04, 49.5
1899-05, 50.2
1899-06, 66.1
1899-07, 70.2
1899-08, 63.3
1899-09, 64.4
1899-10, 47.8
1899-11, 43.2
1899-12, 31.9
1900-01, 39.8
1900-02, 40.3
1900-03, 47.0
1900-04, 45.7
1900-05, 56.1
1900-06, 66.4
1900-07, 70.5
1900-08, 66.3
1900-09, 56.3
1900-10, 49.8
1900-11, 43.7
1900-12, 35.0
1901-01, 34.7
1901-02, 34.6
1901-03, 40.1
1901-04, 45.7
1901-05, 55.2
1901-06, 61.5
1901-07, 71.1
1901-08, 69.9
1901-09, 58.7
1901-10, 53.5
1901-11, 44.2
1901-12, 36.4
1902-01, 30.7
1902-02, 40.2
1902-03, 34.8
1902-04, 46.6
1902-05, 54.0
1902-06, 66.6
1902-07, 67.9
1902-08, 67.9
1902-09, 63.0
1902-10, 51.1
1902-11, 39.1
1902-12, 36.4
1903-01, 34.5
1903-02, 21.4
1903-03, 41.4
1903-04, 44.5
1903-05, 54.8
1903-06, 64.0
1903-07, 65.6
1903-08, 67.8
1903-09, 60.4
1903-10, 54.2
1903-11, 44.7
1903-12, 33.2
1904-01, 31.6
1904-02, 38.3
1904-03, 41.1
1904-04, 46.9
1904-05, 56.7
1904-06, 64.4
1904-07, 69.0
1904-08, 70.6
1904-09, 62.3
1904-10, 50.0
1904-11, 43.5
1904-12, 34.3
1905-01, 38.1
1905-02, 36.8
1905-03, 43.7
1905-04, 49.2
1905-05, 51.2
1905-06, 61.7
1905-07, 72.1
1905-08, 70.0
1905-09, 62.2
1905-10, 49.2
1905-11, 40.2
1905-12, 28.5
1906-01, 35.0
1906-02, 41.1
1906-03, 42.2
1906-04, 49.0
1906-05, 54.6
1906-06, 62.4
1906-07, 74.8
1906-08, 71.5
1906-09, 61.8
1906-10, 52.7
1906-11, 39.5
1906-12, 35.4
1907-01, 31.4
1907-02, 46.3
1907-03, 40.6
1907-04, 53.1
1907-05, 56.0
1907-06, 60.0
1907-07, 70.4
1907-08, 67.8
1907-09, 60.7
1907-10, 55.6
1907-11, 42.1
1907-12, 37.3
1908-01, 35.5
1908-02, 38.0
1908-03, 44.1
1908-04, 52.3
1908-05, 51.7
1908-06, 62.0
1908-07, 75.0
1908-08, 71.6
1908-09, 61.7
1908-10, 48.2
1908-11, 43.3
1908-12, 30.5
1909-01, 37.5
1909-02, 37.8
1909-03, 41.9
1909-04, 51.4
1909-05, 54.5
1909-06, 64.8
1909-07, 69.3
1909-08, 70.6
1909-09, 62.2
1909-10, 51.9
1909-11, 42.3
1909-12, 29.3
1910-01, 26.5
1910-02, 33.3
1910-03, 48.1
1910-04, 53.9
1910-05, 60.3
1910-06, 64.6
1910-07, 74.0
1910-08, 69.7
1910-09, 62.5
1910-10, 54.5
1910-11, 44.6
1910-12, 36.8
1911-01, 33.7
1911-02, 29.6
1911-03, 41.1
1911-04, 47.1
1911-05, 51.9
1911-06, 64.8
1911-07, 72.9
1911-08, 67.6
1911-09, 57.2
1911-10, 50.2
1911-11, 40.4
1911-12, 29.5
1912-01, 35.3
1912-02, 39.9
1912-03, 40.7
1912-04, 45.5
1912-05, 55.1
1912-06, 62.9
1912-07, 68.9
1912-08, 67.1
1912-09, 59.5
1912-10, 47.9
1912-11, 42.4
1912-12, 33.3
1913-01, 28.1
1913-02, 33.5
1913-03, 40.4
1913-04, 47.7
1913-05, 56.3
1913-06, 61.2
1913-07, 70.2
1913-08, 71.3
1913-09, 64.4
1913-10, 53.1
1913-11, 42.2
1913-12, 32.7
1914-01, 34.9
1914-02, 36.6
1914-03, 47.3
1914-04, 49.5
1914-05, 59.5
1914-06, 62.8
1914-07, 70.6
1914-08, 72.7
1914-09, 61.5
1914-10, 52.8
1914-11, 43.8
1914-12, 27.9
1915-01, 32.1
1915-02, 37.2
1915-03, 45.0
1915-04, 50.8
1915-05, 53.4
1915-06, 62.5
1915-07, 70.6
1915-08, 72.2
1915-09, 61.8
1915-10, 55.7
1915-11, 41.0
1915-12, 35.1
1916-01, 26.1
1916-02, 38.6
1916-03, 45.1
1916-04, 50.3
1916-05, 53.7
1916-06, 63.4
1916-07, 68.8
1916-08, 68.3
1916-09, 61.2
1916-10, 47.7
1916-11, 37.9
1916-12, 30.4
1917-01, 21.0
1917-02, 31.1
1917-03, 34.2
1917-04, 46.5
1917-05, 51.5
1917-06, 64.5
1917-07, 74.2
1917-08, 71.7
1917-09, 62.2
1917-10, 54.9
1917-11, 43.8
1917-12, 40.1
1918-01, 35.9
1918-02, 35.0
1918-03, 41.9
1918-04, 48.4
1918-05, 53.3
1918-06, 70.7
1918-07, 70.3
1918-08, 69.4
1918-09, 63.0
1918-10, 54.6
1918-11, 40.6
1918-12, 30.3
1919-01, 31.5
1919-02, 34.4
1919-03, 41.1
1919-04, 51.0
1919-05, 62.1
1919-06, 64.1
1919-07, 74.1
1919-08, 71.7
1919-09, 61.5
1919-10, 46.0
1919-11, 38.1
1919-12, 30.2
1920-01, 34.9
1920-02, 37.8
1920-03, 40.8
1920-04, 46.5
1920-05, 56.9
1920-06, 63.7
1920-07, 68.7
1920-08, 71.1
1920-09, 62.1
1920-10, 47.6
1920-11, 40.9
1920-12, 33.6
1921-01, 33.3
1921-02, 37.8
1921-03, 45.4
1921-04, 47.0
1921-05, 54.1
1921-06, 65.3
1921-07, 71.9
1921-08, 68.8
1921-09, 60.5
1921-10, 53.2
1921-11, 44.1
1921-12, 36.0
1922-01, 24.7
1922-02, 31.4
1922-03, 36.7
1922-04, 43.3
1922-05, 55.7
1922-06, 66.3
1922-07, 73.2
1922-08, 67.6
1922-09, 64.4
1922-10, 51.4
1922-11, 37.4
1922-12, 35.4
1923-01, 33.4
1923-02, 30.5
1923-03, 41.6
1923-04, 47.2
1923-05, 56.0
1923-06, 59.1
1923-07, 71.2
1923-08, 67.9
1923-09, 63.1
1923-10, 49.6
1923-11, 44.2
1923-12, 32.2
1924-01, 27.0
1924-02, 41.7
1924-03, 39.4
1924-04, 49.7
1924-05, 61.5
1924-06, 65.6
1924-07, 71.5
1924-08, 68.1
1924-09, 61.6
1924-10, 49.8
1924-11, 40.7
1924-12, 29.4
1925-01, 35.5
1925-02, 41.2
