DOY,ET,wind_speed,Rs,Rs_reflected,Rn,RH,air_temp
1,0.569,6.599,75.956,-2.0747,7.94,75.956,3.65
2,0.953,4.573,54.905,-2.5185,5.261,54.905,-1.66
3,0.24,2.273,57.866,-1.994,7.236,57.866,-4.49
4,0.296,3.37284,58.947,-2.23687,12.814,58.947,-1.1
5,0.513,3.84127,46.737,-2.14949,12.37,46.737,2.54
6,0.465,3.70835,47.176,-2.0766,12.636,47.176,4.88
7,0.296,2.889,69.799,-2.15032,9.702,69.799,4.73
8,0.353,5.769,75.403,-1.85799,10.157,75.403,-0.17
9,0.345,3.163,65.845,-2.14389,13.364,65.845,-0.81
10,0.385,3.316,63.05236,-1.94311,12.994,62.35619,1.52
11,0.569,4.349,56.3104,-1.86509,11.889,56.76657,7.35
12,0.705,4.82584,65.55698,-0.74186,4.797,64.3613,8.74
13,0.505,3.8426,58.36708,-2.31156,13.029,58.44806,2.53
14,0.481,3.82719,58.22831,-2.27259,12.486,58.11362,4.15
15,0.761,3.8509,56.89608,-1.6058,13.556,57.53587,7.68
16,0.617,3.53,56.52313,-1.85639,12.327,56.57349,7.39
17,0.769,4.159,57.1287,-1.75416,13.6,57.45747,7.11
18,0.521,3.848,57.48573,-1.89372,13.3,57.04388,6.84
19,0.801,3.583,55.78158,0.22073,13.582,56.63806,11.01
20,0.769,3.942,42.303,0.60595,11.481,42.303,10.94
21,0.705,5.561,52.629,-0.59956,10.034,52.629,8.83
22,1.763,7.872,74.086,-2.46969,4.362,74.086,2.05
23,0.753,2.988,57.102,-2.27209,14.498,57.102,4.59
24,0.993,3.333,35.874,-0.07371,10.564,35.874,9.73
25,0.192,2.776,85.939,-2.17237,6.928,85.939,3.8
26,0.945,5.828,62.165,-0.26128,12.51,62.165,8.15
27,0.633,2.248,44.929,-1.01625,8.734,44.929,7.67
28,1.05717,5.01358,84.295,-3.11787,1.454,84.295,-0.04
29,0.97792,4.91424,93.494,-2.30448,6.818,93.494,-1.57
30,0.378,4.2404,92.891,-2.37626,10.552,92.891,-0.99
31,0.705,3.538,87.995,-0.50424,13.724,87.995,0.05
32,1.042,4.629,73.797,-2.18308,16.647,73.797,2.87
33,0.913,4.417,73.429,-2.27968,17.169,73.429,3.02
34,1.098,3.578,59.875,-2.14151,13.373,59.875,5.51
35,0.689,4.394,64.337,-2.34559,14.474,64.337,5.61
36,0.433,5.48,80.159,0.48472,6.429,80.159,11.41
37,0.761,3.512,65.418,0.12818,10.169,65.418,10.3
38,0.865,3.446,57.961,-0.26595,14.702,57.961,9.64
39,1.098,3.081,51.909,0.61068,16.065,51.909,11.57
40,0.785,2.688,71.632,-0.09935,16.375,71.632,9.19
41,1.658,6.485,43.606,3.04848,16.843,43.606,13.73
42,1.258,7.264,48.387,-1.56415,17.64,48.387,1.33
43,0.769,2.828,44.825,-1.88377,17.909,44.825,1.76
44,1.001,3.196,56.55346,-2.09247,17.926,55.52201,5.32
45,1.146,4.809,39.207,-0.39092,17.059,39.207,8.89
46,1.458,5.049,39.841,0.42985,17.568,39.841,10.6
47,1.05,3.108,59.344,-1.51495,17.456,59.344,6.55
48,1.234,3.825,43.905,-0.37263,15.329,43.905,8.98
49,1.466,5.044,36.441,-1.67606,18.541,36.441,6.36
50,1.034,4.303,44.781,-1.55246,13.433,44.781,6.66
51,1.21,3.978,53.876,-2.64078,18.909,53.876,4.95
52,0.977,4.302,57.951,-2.1913,17.765,57.951,5.03
53,1.675,6.149,37.622,-0.89239,19.758,37.622,6.31
54,1.298,2.379,30.732,-1.55731,19.764,30.732,5.57
55,1.562,3.068,32.15,1.04527,19.906,32.15,11.28
56,1.891,3.64,31.485,2.57791,16.451,31.485,12.88
57,2.412,5.132,23.462,2.52064,19.948,23.462,13.28
58,1.843,3.822,27.823,-0.38501,20.646,27.823,8.44
59,2.011,3.276,33.634,0.7527,20.618,33.634,11.23
60,2.267,2.965,32.307,2.57218,19.229,32.307,12.59
61,2.155,6.245,41.06,-0.11506,20.608,41.06,9.03
62,2.668,5.061,46.48,-1.65111,20.688,46.48,7.12
63,3.133,5.141,34.794,2.34784,18.265,34.794,12.52
64,2.275,3.751,46.731,-0.35436,21.058,46.731,9.19
65,1.771,3.359,52.588,-2.34283,20.248,52.588,5.23
66,1.39925,4.838,88.534,-3.11695,2.363,88.534,2.5
67,3.04365,5.078,51.0786,0.43427,20.543,50.8917,9.07
68,2.059,3.821,68.62,-1.48596,22.179,68.62,7.1
69,2.86,3.514,55.391,-0.63091,22.96,55.391,10.97
70,1.00891,4.145,94.655,-2.37248,2.581,94.655,2.21
71,1.19173,5.16387,95.368,-2.84338,2.546,95.368,1.52
72,0.801,4.72239,89.89,-2.10962,10.372,89.89,-2.1
73,1.795,3.67388,76.942,-1.59228,22.965,76.942,4.1
74,3.405,4.906,52.508,0.75456,22.213,52.508,11.26
75,3.373,4.365,48.204,2.45513,20.3,48.204,13.07
76,2.652,6.951,56.803,0.24693,14.716,56.803,10.51
77,1.29377,5.25555,87.514,-2.81295,4.467,87.514,0.97
78,0.152,3.97139,87.921,-0.39277,11.64,87.921,1.07
79,2.163,1.95,74.748,0.46216,24.195,74.748,6.96
80,2.98,4.322,70.93,1.20997,23.648,70.93,11.98
81,3.758,4.94,61.904,3.33946,24.441,61.904,14.33
82,2.195,3.985,78.76,-0.88049,21.588,78.76,8.03
83,0.921,3.971,88.965,-0.48863,7.753,88.965,9.03
84,1.971,2.55,78.049,0.07281,19.607,78.049,8.61
85,2.636,6.249,70.282,0.27334,19.429,70.282,10.47
86,1.162,4.981,83.149,2.48607,9.552,83.149,12.85
87,2.516,4.911,78.692,1.05213,16.825,78.692,11.28
88,2.067,2.493,83.048,1.57376,18.784,83.048,11.67
89,3.005,6.467,75.752,2.22762,23.455,75.752,12.4
90,4.511,6.06,53.89,4.95626,25.68,53.89,16.41
91,5.144,6.359,28.683,5.74271,24.445,28.683,16.96
92,3.125,4.90771,51.319,3.70574,21.586,51.319,16.23
93,2.94,5.136,41.479,0.03162,27.243,41.479,9.14
94,2.331,5.194,51.313,1.98605,18.19,51.313,13.07
95,3.902,4.946,50.331,0.99569,26.809,50.331,10.8
96,3.774,4.958,49.88,3.36812,26.611,49.88,14.44
97,2.404,4.297,56.584,5.15088,11.74,56.584,17.04
98,4.615,7.313,28.313,4.59262,26.652,28.313,15.36
99,4.238,5.109,38.555,4.11935,27.524,38.555,15.51
100,3.838,4.587,25.292,1.147,25.19108,25.292,11.147
101,2.732,3.401,47.359,-0.76,22.422,47.359,9.24
102,2.067,5.146,67.897,1.919,14.038,67.897,11.919
103,1.186,4.67681,90.232,4.329,8.292,90.232,14.329
104,2.724,5.48672,83.63,-3.038,3.388,83.63,6.962
105,2.876,3.9404,55.184,-6.192,22.292,55.184,3.808
106,2.107,3.359,40.281,-2.55414,21.456,40.281,5.37
107,2.668,3.394,52.321,-4.315,28.538,52.321,5.685
108,3.637,3.603,49.784,2.831,27.685,49.784,12.831
109,4.134,1.978,39.98822,6.29703,27.375,17.436,17.54
110,5.448,3.815,44.161,8.416,28.459,44.161,18.416
111,4.679,4.28121,43.404,7.449,17.936,43.404,17.449
112,5.785,3.62257,59.068,8.214,27.905,59.068,18.214
113,0.449,4.80688,92.009,-3.473,7.971,92.009,6.527
114,0.87829,5.17528,96.456,-5.172,3.162,96.456,4.828
115,4.142,3.644,77.247,1.236,26.622,77.247,11.236
116,4.607,3.104,54.183,3.246,29.341,54.183,13.246
117,4.871,1.539,60.271,5.796,29.121,60.271,15.796
118,4.655,4.573,74.763,6.247,22.373,74.763,16.247
119,2.588,5.651,90.486,3.069,13.699,90.486,13.069
120,0.681,7.015,95.172,1.334,2.654,95.172,11.334
121,0.529,5.773,95.067,0.091,3.617,95.067,10.091
122,5.328,4.777,69.488,3.482,30.236,69.488,13.482
123,5.608,4.088,63.256,4.876,22.541,63.256,14.876
124,5.801,5.667,56.417,3.225,24.416,56.417,13.225
125,3.237,3.574,55.96982,0.40365,24.51437,55.74211,10.08
126,4.198,3.596,56.376,-0.556,31.265,56.376,9.444
127,5.392,2.615,54.333,3.649,31.072,54.333,13.649
128,6.522,2.951,57.734,8.353,30.431,57.734,18.353
129,3.83,4.787,78.336,8.158,17.213,78.336,18.158
130,7.603,3.647,50.699,7.981,30.713,50.699,17.981
131,3.261,4.512,70.558,0.33,14.821,70.558,10.33
132,5.224,2.545,66.973,2.707,27.002,66.973,12.707
133,4.15,6.292,82.206,5.568,19.837,82.206,15.568
