HDOP,x,y,time,timestamp,altid,slope,sin_aspect,elevation,cos_aspect,veg_class,used
5.4,634506.3807,4604291.878,18991230,18991230,P052,19.5381,0.0654,1982.58,0.6443,Herbaceous - shrub-steppe,1
5.1,660642.0322,4595564.767,18991230,18991230,P052,22.4732,1.779,2278.14,1.627,Herbaceous - shrub-steppe,1
5,660841.4779,4594335.09,18991230,18991230,P052,7.8051,1.267,2460.76,0.0363,Herbaceous - shrub-steppe,1
5,637285.8551,4604777.535,18991230,18991230,P052,24.8644,0.0083,1947.33,1.1285,Herbaceous - shrub-steppe,1
4.9,666393.0684,4588164.598,18991230,18991230,P052,29.4159,1.4237,2231.07,0.0942,Herbaceous - shrub-steppe,1
4.9,686228.0628,4556669.465,18991230,18991230,P052,19.865,1.0884,2020.47,0.0039,Shrubland,1
4.8,670951.0819,4583431.895,18991230,18991230,P052,5.5289,0.0002,2047.43,1.0211,Herbaceous - shrub-steppe,1
4.8,675196.98,4575017.148,18991230,18991230,P052,9.3541,1.4341,1931.54,1.9009,Herbaceous - shrub-steppe,1
4.7,675193.1225,4575038.162,18991230,18991230,P052,13.053,0.1525,1932.24,1.5308,Shrubland,1
4.6,665474.5173,4588554.536,18991230,18991230,P052,17.139,0.0228,2272.58,1.2124,Herbaceous - shrub-steppe,1
4.6,633014.0328,4604315.224,18991230,18991230,P052,2.87,0.1682,2044.17,1.5551,Herbaceous - shrub-steppe,1
4.4,670520.3304,4584599.27,18991230,18991230,P052,15.5467,0.8766,2021.67,0.0076,Herbaceous - shrub-steppe,1
4.4,666581.8322,4588100.071,18991230,18991230,P052,36.1785,0.0827,2162.38,0.6018,Open tree canopy,1
4.4,666574.5417,4588089.905,18991230,18991230,P052,25.3074,0.7118,2160.08,1.9576,Open tree canopy,1
4.3,674463.6972,4577505.671,18991230,18991230,P052,28.9046,1.3817,2031.04,0.0757,Herbaceous - shrub-steppe,1
4.3,661284.855,4593669.604,18991230,18991230,P052,13.447,1.7428,2458.49,0.3304,Herbaceous - shrub-steppe,1
4.3,664224.3248,4589895.696,18991230,18991230,P052,16.3532,1.9131,2262.36,1.4077,Herbaceous - shrub-steppe,1
4.3,624781.5293,4608266.933,18991230,18991230,P052,19.0251,0.3048,1982.02,0.2812,Shrubland,1
4.2,620238.3077,4610627.178,18991230,18991230,P052,11.2163,1.5419,1989.31,1.8404,Herbaceous - shrub-steppe,1
4.2,624467.5329,4608640.199,18991230,18991230,P052,15.0389,0.6086,1997.03,1.9202,Herbaceous - shrub-steppe,1
4.2,675196.4642,4575003.805,18991230,18991230,P052,8.0103,0.9025,1931.54,1.9952,Herbaceous - shrub-steppe,1
