ID,Sex,JulianDay,Easting,Northing
209,F,91,606774.8303,5227353.486
334,M,91,610886.3467,5262914.514
362,F,91,655094.8054,5279342.312
374,M,91,652392.3289,5281385.004
375,F,91,650756.4006,5275545.139
376,F,91,604994.3077,5250519.487
377,F,91,642855.6623,5266222.223
378,F,91,634253.6554,5269864.373
380,F,91,616073.5153,5260356.921
381,F,91,608869.1725,5265787.106
382,M,91,610878.6064,5262925.485
384,F,91,609500.4287,5260295.876
385,F,91,607579.0521,5257125.256
386,F,91,604987.1,5250500.46
387,F,91,607209.7328,5246748.677
389,F,91,612180.4977,5239526.423
390,F,91,602534.3207,5246590.799
392,M,91,610141.5059,5221574.587
393,F,91,609645.3097,5217805.814
209,F,92,607223.1913,5227115.924
334,M,92,611753.7168,5263170.044
362,F,92,655088.0574,5279369.935
374,M,92,652412.4713,5281304.349
375,F,92,650572.3402,5275975.197
376,F,92,605287.4487,5250545.858
377,F,92,642934.8461,5266525.505
378,F,92,633220.2383,5270302.136
379,M,92,633825.9399,5269942.391
380,F,92,616043.8102,5260410.808
381,F,92,608124.6022,5265420.869
382,M,92,611771.4591,5263148.149
384,F,92,609788.8168,5260870.478
385,F,92,607520.8333,5257134.192
386,F,92,605288.0837,5250552.539
387,F,92,607892.2213,5245323.76
389,F,92,612544.6871,5240453.854
390,F,92,602937.3304,5246737.908
392,M,92,610325.7122,5222110.494
393,F,92,609535.5361,5217872.707
209,F,93,607354.672,5227094.964
334,M,93,612008.2917,5263367.245
362,F,93,654773.1886,5279341.535
374,M,93,651455.5072,5282137.88
375,F,93,650578.1156,5276508.026
376,F,93,604094.8217,5252422.209
378,F,93,633350.8632,5270249.524
379,M,93,633942.0204,5269933.935
380,F,93,615622.6519,5260901.655
381,F,93,607242.1295,5265712.554
382,M,93,611984.5259,5263389.024
384,F,93,610089.7942,5260892.807
385,F,93,607210.3873,5257082.925
386,F,93,604291.3554,5251977.696
387,F,93,606803.1577,5245638.497
389,F,93,612829.4761,5240704.987
390,F,93,602649.1783,5246241.522
392,M,93,610097.8323,5222455.313
393,F,93,609519.4796,5217837.95
209,F,94,607135.1175,5227334.433
334,M,94,612484.578,5263509.795
362,F,94,654822.0008,5279342.833
374,M,94,651877.0051,5282247.85
375,F,94,650774.0893,5276488.629
376,F,94,604483.7074,5251515.328
378,F,94,632973.1552,5270644.527
379,M,94,633775.3941,5269882.301
380,F,94,615452.5134,5261237.382
381,F,94,606843.6547,5265518.489
382,M,94,612539.9713,5263527.537
384,F,94,609794.0268,5260873.911
386,F,94,604249.6596,5251903.585
387,F,94,607189.1842,5245265.328
389,F,94,612824.462,5240690.439
390,F,94,601968.634,5245413.736
392,M,94,610040.6251,5222432.017
393,F,94,609976.4254,5217140.512
209,F,95,606770.6215,5227376.754
334,M,95,612305.7828,5262858.214
362,F,95,654440.2954,5279992.171
374,M,95,651277.67,5281496.027
375,F,95,650225.4867,5276480.015
377,F,95,642874.0209,5266426.164
379,M,95,633997.7412,5269899.633
380,F,95,615442.8534,5261230.521
381,F,95,606530.3919,5265398.264
382,M,95,612158.4339,5262961.002
384,F,95,609751.9147,5260949.83
385,F,95,606658.4808,5257331.878
386,F,95,604037.2666,5252348.93
387,F,95,608709.3504,5244236.017
389,F,95,612857.1968,5240678.838
390,F,95,602222.234,5245600.447
