COLLECTION_Date,TRACE,LONG,LAT,ELEV [m],TWT [ns],"SNOW DEPTH [m, assuming velocity of 0.234 m/ns]",SWE [mm assuming density of 335 kg/m3],EASTING,NORTHING,UTM_ZONE,TRANSECT
GPR_0042_020817,10349,-108.0645598,39.04446381,-999,5.804,0.685,229,754048.6795,4325819.786,12S,46
GPR_0042_020817,10350,-108.0645595,39.04446401,-999,5.8528,0.685,229,754048.7029,4325819.808,12S,46
GPR_0042_020817,10351,-108.0645592,39.04446421,-999,5.9016,0.69,231,754048.7262,4325819.831,12S,46
GPR_0042_020817,10352,-108.064559,39.0444644,-999,5.8528,0.69,231,754048.7495,4325819.854,12S,46
GPR_0042_020817,10353,-108.0645587,39.0444646,-999,5.804,0.685,229,754048.7729,4325819.877,12S,46
GPR_0042_020817,10354,-108.0645584,39.0444648,-999,5.7552,0.679,227,754048.7962,4325819.9,12S,46
GPR_0042_020817,10355,-108.0645581,39.044465,-999,5.7552,0.679,227,754048.8195,4325819.922,12S,46
GPR_0042_020817,10356,-108.0645578,39.0444652,-999,5.7552,0.679,227,754048.8429,4325819.945,12S,46
GPR_0042_020817,10357,-108.0645576,39.0444654,-999,5.8528,0.69,231,754048.8662,4325819.968,12S,46
GPR_0042_020817,10358,-108.0645573,39.04446559,-999,5.804,0.685,229,754048.8895,4325819.991,12S,46
GPR_0042_020817,10359,-108.064557,39.04446579,-999,5.9016,0.69,231,754048.9129,4325820.014,12S,46
GPR_0042_020817,10360,-108.0645567,39.04446599,-999,5.7552,0.679,227,754048.9362,4325820.036,12S,46
GPR_0042_020817,10361,-108.0645565,39.04446619,-999,6.0967,0.708,237,754048.9595,4325820.059,12S,46
GPR_0042_020817,10362,-108.0645562,39.04446639,-999,5.9016,0.69,231,754048.9829,4325820.082,12S,46
GPR_0042_020817,10363,-108.0645559,39.04446659,-999,5.8528,0.685,229,754049.0062,4325820.105,12S,46
GPR_0042_020817,10364,-108.0645556,39.04446678,-999,5.9016,0.69,231,754049.0295,4325820.128,12S,46
GPR_0042_020817,10365,-108.0645553,39.04446698,-999,5.8528,0.685,229,754049.0529,4325820.15,12S,46
GPR_0042_020817,10366,-108.0645551,39.04446718,-999,5.9016,0.69,231,754049.0762,4325820.173,12S,46
GPR_0042_020817,10367,-108.0645548,39.04446738,-999,5.9016,0.69,231,754049.0995,4325820.196,12S,46
GPR_0042_020817,10368,-108.0645545,39.04446758,-999,5.7065,0.668,224,754049.1229,4325820.219,12S,46
GPR_0042_020817,10369,-108.0645542,39.04446778,-999,5.9016,0.69,231,754049.1462,4325820.242,12S,46
GPR_0042_020817,10370,-108.064554,39.04446797,-999,5.8528,0.685,229,754049.1695,4325820.264,12S,46
GPR_0042_020817,10371,-108.0645537,39.04446817,-999,5.6577,0.662,222,754049.1929,4325820.287,12S,46
GPR_0042_020817,10372,-108.0645534,39.04446837,-999,5.6577,0.662,222,754049.2162,4325820.31,12S,46
GPR_0042_020817,10373,-108.0645531,39.04446857,-999,5.6577,0.662,222,754049.2395,4325820.333,12S,46
GPR_0042_020817,10374,-108.0645528,39.04446877,-999,5.8528,0.685,229,754049.2629,4325820.356,12S,46
GPR_0042_020817,10375,-108.0645526,39.04446897,-999,5.804,0.685,229,754049.2862,4325820.378,12S,46
GPR_0042_020817,10376,-108.0645523,39.04446916,-999,5.8528,0.685,229,754049.3095,4325820.401,12S,46
GPR_0042_020817,10377,-108.0645521,39.0444694,-999,5.9016,0.69,231,754049.3293,4325820.428,12S,46
GPR_0042_020817,10378,-108.0645518,39.04446964,-999,5.8528,0.685,229,754049.349,4325820.455,12S,46
GPR_0042_020817,10379,-108.0645516,39.04446988,-999,5.9016,0.69,231,754049.3688,4325820.483,12S,46
GPR_0042_020817,10380,-108.0645513,39.04447012,-999,5.7064,0.673,225,754049.3886,4325820.51,12S,46
GPR_0042_020817,10381,-108.0645511,39.04447036,-999,5.7552,0.679,227,754049.4083,4325820.537,12S,46
GPR_0042_020817,10382,-108.0645509,39.04447059,-999,5.7552,0.679,227,754049.4281,4325820.564,12S,46
GPR_0042_020817,10383,-108.0645506,39.04447083,-999,5.8528,0.696,233,754049.4478,4325820.591,12S,46
GPR_0042_020817,10384,-108.0645504,39.04447107,-999,5.9503,0.696,233,754049.4676,4325820.618,12S,46
GPR_0042_020817,10385,-108.0645501,39.04447131,-999,5.5601,0.651,218,754049.4873,4325820.645,12S,46
GPR_0042_020817,10386,-108.0645499,39.04447155,-999,5.5601,0.651,218,754049.5071,4325820.672,12S,46
GPR_0042_020817,10387,-108.0645497,39.04447178,-999,5.5601,0.656,220,754049.5269,4325820.699,12S,46
GPR_0042_020817,10388,-108.0645494,39.04447202,-999,5.5601,0.651,218,754049.5466,4325820.726,12S,46
GPR_0042_020817,10389,-108.0645492,39.04447226,-999,5.6089,0.656,220,754049.5664,4325820.754,12S,46
GPR_0042_020817,10390,-108.064549,39.0444725,-999,5.5601,0.651,218,754049.5861,4325820.781,12S,46
GPR_0042_020817,10391,-108.0645487,39.04447274,-999,5.5601,0.656,220,754049.6059,4325820.808,12S,46
GPR_0042_020817,10392,-108.0645485,39.04447297,-999,5.6089,0.656,220,754049.6256,4325820.835,12S,46
GPR_0042_020817,10393,-108.0645482,39.04447321,-999,5.6089,0.656,220,754049.6454,4325820.862,12S,46
GPR_0042_020817,10394,-108.064548,39.04447345,-999,5.6089,0.656,220,754049.6651,4325820.889,12S,46
GPR_0042_020817,10395,-108.0645478,39.04447369,-999,5.6089,0.656,220,754049.6849,4325820.916,12S,46
GPR_0042_020817,10396,-108.0645475,39.04447393,-999,5.6089,0.656,220,754049.7047,4325820.943,12S,46
GPR_0042_020817,10397,-108.0645473,39.04447416,-999,5.5601,0.651,218,754049.7244,4325820.97,12S,46
GPR_0042_020817,10398,-108.064547,39.04447433,-999,5.5601,0.651,218,754049.7455,4325820.989,12S,46
GPR_0042_020817,10399,-108.0645468,39.0444745,-999,5.6089,0.656,220,754049.7665,4325821.009,12S,46
GPR_0042_020817,10400,-108.0645465,39.04447466,-999,5.6089,0.656,220,754049.7875,4325821.028,12S,46
GPR_0042_020817,10401,-108.0645463,39.04447483,-999,5.6577,0.662,222,754049.8086,4325821.047,12S,46
GPR_0042_020817,10402,-108.064546,39.044475,-999,5.6577,0.662,222,754049.8296,4325821.066,12S,46
GPR_0042_020817,10403,-108.0645458,39.04447516,-999,5.6577,0.662,222,754049.8507,4325821.085,12S,46
GPR_0042_020817,10404,-108.0645455,39.04447533,-999,5.6089,0.656,220,754049.8717,4325821.105,12S,46
GPR_0042_020817,10405,-108.0645453,39.0444755,-999,5.6089,0.656,220,754049.8928,4325821.124,12S,46
GPR_0042_020817,10406,-108.064545,39.04447566,-999,5.6577,0.662,222,754049.9138,4325821.143,12S,46
GPR_0042_020817,10407,-108.0645448,39.04447583,-999,5.6577,0.662,222,754049.9348,4325821.162,12S,46
GPR_0042_020817,10408,-108.0645445,39.044476,-999,5.7065,0.668,224,754049.9559,4325821.181,12S,46
GPR_0042_020817,10409,-108.0645443,39.04447616,-999,5.7065,0.668,224,754049.9769,4325821.201,12S,46
GPR_0042_020817,10410,-108.064544,39.04447633,-999,5.6577,0.662,222,754049.998,4325821.22,12S,46
GPR_0042_020817,10411,-108.0645438,39.0444765,-999,5.6089,0.656,220,754050.019,4325821.239,12S,46
GPR_0042_020817,10412,-108.0645435,39.04447666,-999,5.6577,0.662,222,754050.0401,4325821.258,12S,46
GPR_0042_020817,10413,-108.0645433,39.04447683,-999,5.6089,0.656,220,754050.0611,4325821.277,12S,46
GPR_0042_020817,10414,-108.064543,39.044477,-999,5.6577,0.662,222,754050.0821,4325821.297,12S,46
GPR_0042_020817,10415,-108.0645428,39.04447716,-999,5.6577,0.662,222,754050.1032,4325821.316,12S,46
GPR_0042_020817,10416,-108.0645425,39.04447733,-999,5.6577,0.662,222,754050.1242,4325821.335,12S,46
GPR_0042_020817,10417,-108.0645423,39.0444775,-999,5.6577,0.662,222,754050.1453,4325821.354,12S,46
GPR_0042_020817,10418,-108.0645419,39.04447767,-999,5.6089,0.662,222,754050.175,4325821.375,12S,46
GPR_0042_020817,10419,-108.0645416,39.04447785,-999,5.6089,0.656,220,754050.2048,4325821.395,12S,46
GPR_0042_020817,10420,-108.0645412,39.04447802,-999,5.6089,0.656,220,754050.2345,4325821.416,12S,46
GPR_0042_020817,10421,-108.0645409,39.0444782,-999,5.6089,0.656,220,754050.2642,4325821.436,12S,46
GPR_0042_020817,10422,-108.0645405,39.04447837,-999,5.6089,0.656,220,754050.294,4325821.457,12S,46
GPR_0042_020817,10423,-108.0645402,39.04447855,-999,5.5601,0.656,220,754050.3237,4325821.477,12S,46
GPR_0042_020817,10424,-108.0645398,39.04447873,-999,5.5113,0.651,218,754050.3535,4325821.497,12S,46
GPR_0042_020817,10425,-108.0645395,39.0444789,-999,5.5113,0.651,218,754050.3832,4325821.518,12S,46
GPR_0042_020817,10426,-108.0645391,39.04447908,-999,5.5114,0.645,216,754050.413,4325821.538,12S,46
GPR_0042_020817,10427,-108.0645388,39.04447925,-999,5.5601,0.651,218,754050.4427,4325821.559,12S,46
GPR_0042_020817,10428,-108.0645384,39.04447943,-999,5.5601,0.651,218,754050.4724,4325821.579,12S,46
GPR_0042_020817,10429,-108.0645381,39.0444796,-999,5.5601,0.651,218,754050.5022,4325821.6,12S,46
GPR_0042_020817,10430,-108.0645377,39.04447978,-999,5.5601,0.651,218,754050.5319,4325821.62,12S,46
