"station","dist","species","seeds.1999-03-23","seeds.1999-03-25","seeds.1999-03-27","seeds.1999-03-28","seeds.1999-04-03","seeds.1999-04-04","seeds.1999-04-10","seeds.1999-04-11","seeds.1999-04-17","seeds.1999-04-18","seeds.1999-04-24","seeds.1999-04-25","seeds.1999-05-02","seeds.1999-05-03","seeds.1999-05-09","seeds.1999-05-10","seeds.1999-05-16","seeds.1999-05-17","seeds.1999-05-23","seeds.1999-05-24","seeds.1999-05-30","seeds.1999-05-31","seeds.1999-06-06","seeds.1999-06-07","seeds.1999-06-12","seeds.1999-06-13","seeds.1999-06-19","seeds.1999-06-20","seeds.1999-06-26","seeds.1999-06-27","seeds.1999-07-04","seeds.1999-07-05","seeds.1999-07-10","seeds.1999-07-11","seeds.1999-07-17","seeds.1999-07-18","seeds.1999-07-24","seeds.1999-07-25","seeds.1999-07-31","seeds.1999-08-01","seeds.1999-08-07","seeds.1999-08-08","seeds.1999-08-14","seeds.1999-08-15","seeds.1999-08-21","seeds.1999-08-22","seeds.1999-08-29","seeds.1999-08-30","seeds.1999-09-04","seeds.1999-09-05","seeds.1999-09-14","seeds.1999-09-15","seeds.1999-09-18","seeds.1999-09-19","seeds.1999-09-27","seeds.1999-09-28","seeds.1999-10-02","seeds.1999-10-03","seeds.1999-10-10","seeds.1999-10-12","seeds.1999-10-18","seeds.1999-10-19","seeds.1999-10-25","seeds.1999-10-26","seeds.1999-10-30","seeds.1999-10-31","seeds.1999-11-06","seeds.1999-11-07","seeds.1999-11-13","seeds.1999-11-14","seeds.1999-11-20","seeds.1999-11-21","seeds.1999-11-27","seeds.1999-11-28"
"1","25","psd",5,NA,5,NA,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"2","25","uva",5,NA,5,NA,5,NA,5,NA,4,NA,2,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"3","25","pol",5,NA,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"4","25","dio",5,NA,5,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA
"5","25","cor",5,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA
"6","25","abz",5,NA,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"7","25","cd",5,NA,5,NA,5,NA,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"8","25","mmu",5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA
"9","25","psd",5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"10","25","uva",5,NA,4,NA,4,NA,4,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
