"","year","births","UNRATE","MEHOINUSA672N"
"1",2000,4149598,3.96666666666667,71790
"2",2001,4110963,4.74166666666667,70610
"3",2002,4099313,5.78333333333333,70040
"4",2003,4163060,5.99166666666667,70080
"5",2004,4186863,5.54166666666667,69970
"6",2005,4211941,5.08333333333333,71060
"7",2006,4335154,4.60833333333333,71850
"8",2007,4380784,4.61666666666667,73010
"9",2008,4310737,5.8,70520
"10",2009,4190991,9.28333333333333,70070
"11",2010,4055975,9.60833333333333,68420
"12",2011,4006908,8.93333333333333,67410
"13",2012,4000868,8.075,67400
"14",2013,3973337,7.35833333333333,69950
"15",2014,4010532,6.15833333333333,69060
