NestID,Species,Date_found,Veg_spp,Veg_height,Nest_height,Fate,Fate_date,Fate_time,Female,Male,Def_Pairs,Lik_Pairs,Prev_Nest,Start_date
AMB1,,4/9/2014,,,,2,,,,,,,,
AMBA1,SESP,4/22/2014,,,,,,,,,,,,
AMBJ1,,4/16/2014,,,,,,,,,,,,
AMBJ2,SESP,4/22/2014,,,,,,,,,,,,
AMBS1,SESP,4/13/2014,,,,,,,,,,,,
AMBT1,,4/6/2015,SPARALTE,,,,,,,,,,,
CRD?1,SESP,5/21/2013,SPARALTE,1.1,0.5,2,,,,,,,,
CRD?10,SESP,6/10/2013,SPARALTE,0.9,0.5,2,,,,,,,,
CRD?11,SESP,6/10/2013,SPARALTE,1.25,0.8,2,,,,,,,,
CRD?12,SESP,6/12/2013,SPARALTE,1.05,0.55,2,,,,,,,,
CRD?13,SESP,6/18/2013,SPARALTE,1,0.5,2,,,,,,,,
CRD?14,SESP,6/18/2013,SPARALTE,0.95,0.55,2,,,,,,,,
CRD?15,SESP,6/27/2013,SPARALTE,1.2,0.85,2,,,,,,,,
CRD?16,SESP,6/27/2013,SPARALTE,1,0.5,2,,,,,,,,
CRD?2,SESP,5/21/2013,SPARALTE,1.2,0.6,2,,,,,,,,
CRD?3,SESP,5/21/2013,SPARALTE,0.85,0.45,2,,,,,,,,
CRD?4,SESP,6/2/2013,SPARALTE,0.8,0.35,2,,,,,,,,
CRD?5,SESP,6/2/2013,SPARALTE,1.1,0.6,2,,,,,,,,
CRD?6,SESP,6/2/2013,SPARALTE,1,0.7,2,,,,,,,,
CRD?7,SESP,6/10/2013,SPARALTE,1,0.55,2,,,,,,,,
CRD?8,SESP,6/10/2013,SPARALTE,1,0.35,2,,,,,,,,
CRD?9,SESP,6/10/2013,SPARALTE,0.8,0.5,2,,,,,,,,
CRD1,SESP,5/21/2013,SPARALTE,0.8,0.45,1,5/23/2013,22:00:00,,,,,,5/21/2013
CRD10,SESP,6/12/2013,SPARALTE,0.85,0.5,3,6/14/2013,4:00:00,,,,,,6/12/2013
CRD11,SESP,6/12/2013,SPARALTE,0.85,0.575,3,6/14/2013,15:00:00,,,,PC1,,6/12/2013
CRD12,SESP,6/14/2013,SPARALTE,1.15,0.6,1,6/21/2013,,,,,PC8,,6/14/2013
CRD13,SESP,6/14/2013,SPARALTE,1.15,0.85,3,6/27/2013,7:00:00,,,,PC6,,6/14/2013
CRD14,SESP,6/14/2013,SPARALTE,1.4,0.8,1,6/21/2013,19:00:00,,,,PC7,,6/14/2013
CRD15,SESP,6/18/2013,SPARALTE,1.15,0.6,1,6/21/2013,19:00:00,,,,PC3,,6/18/2013
CRD16,SESP,6/18/2013,SPARALTE,1.1,0.75,1,6/23/2013,21:00:00,,,,,,6/18/2013
CRD17,SESP,6/18/2013,SPARALTE,1.2,0.75,1,6/21/2013,8:00:00,,,,PC4,CRD6,6/19/2013
CRD18,SESP,6/20/2013,SPARALTE,0.95,0.7,2,,,,,,,,
CRD19,SESP,6/22/2013,SPARALTE,1.1,0.8,1,6/23/2013,,,,,PC2,,6/22/2013
CRD2,SESP,5/21/2013,SPARALTE,0.8,0.45,1,5/22/2013,,,,,PC2,,5/21/2013
CRD20,SESP,6/22/2013,SPARALTE,1.4,0.8,3,6/25/2013,23:00:00,,,,PC9,,6/22/2013
CRD21,SESP,6/22/2013,SPARALTE,1.25,0.55,5,6/21/2013,,,,,,,6/20/2013
CRD22,SESP,6/24/2013,SPARALTE,1.2,0.6,3,6/25/2013,,,,,PC5,,6/24/2013
CRD23,SESP,6/27/2013,SPARALTE,1.1,0.7,3,6/29/2013,20:00:00,,,,PC3,CRD15,6/27/2013
CRD24,SESP,6/27/2013,SPARALTE,1.15,0.7,3,7/5/2013,12:00:00,,,,PC8,,6/27/2013
