x,y,total,positive,prev,long,lat,alt
349631.3,1458055,33,17,0.515151515151515,-16.3875510346675,13.1854096027587,15.7541000031896
358543.1,1460112,63,19,0.301587301587302,-16.3054302344997,13.2044372719998,32.1464838962747
360308.1,1460026,17,7,0.411764705882353,-16.2891408396563,13.2037423480732,32.1868749203918
363795.7,1496919,24,8,0.333333333333333,-16.2586908179484,13.5374248337525,19.506818354987
366400.5,1460248,26,10,0.384615384615385,-16.2329368454913,13.2060262670302,25.9532643337451
366687.5,1463002,18,7,0.388888888888889,-16.2304134706125,13.2309364551102,18.0699265571848
368420.5,1460569,38,24,0.631578947368421,-16.2143123870568,13.2090173879772,17.7748221598536
370399.5,1460301,56,7,0.125,-16.1960397520862,13.2066805166336,27.0933005433079
370627.7,1499589,57,6,0.105263157894737,-16.1956855743878,13.561872253698,38.865736287079
374402.6,1501392,26,8,0.307692307692308,-16.1608815273821,13.5783367673809,35.7205778946112
377024.3,1495994,31,6,0.193548387096774,-16.1364209586996,13.5296475443355,6.02140199092073
378218.3,1459478,32,12,0.375,-16.1238587369455,13.1995669194331,27.1596928871453
379097.8,1500023,32,14,0.4375,-16.1174324036202,13.566158379176,16.6629035985211
379752,1459654,20,5,0.25,-16.1097141012472,13.2012198348079,18.6991655562986
381772.5,1491676,53,5,0.0943396226415094,-16.0923707698178,13.4908051622507,12.6356404366328
382235.9,1463017,29,4,0.137931034482759,-16.0869288666465,13.2317227932836,17.1309720148729
383161.9,1500986,30,8,0.266666666666667,-16.0799143315418,13.5750298525923,10.3528674634371
386849.4,1501264,21,15,0.714285714285714,-16.045846499426,13.5776883693428,31.1739555436722
387136.4,1462602,28,6,0.214285714285714,-16.0416881090156,13.2281591583243,22.5151041880798
389747,1466306,30,12,0.4,-16.0177351068672,13.2617445004008,8.87058099263553
390401.9,1463426,30,15,0.5,-16.0115828839701,13.2357301198612,19.7376960858531
391934.6,1499785,27,10,0.37037037037037,-15.9987934504427,13.5645094425938,34.4776614196037
393347.5,1497573,30,10,0.333333333333333,-15.9856536826947,13.544562690998,36.7784419233603
395433.6,1490858,34,1,0.0294117647058824,-15.9661319280627,13.4839272300477,11.5814790570375
397076.4,1501881,20,13,0.65,-15.9513506559961,13.5836450585512,33.3379212804718
486828.1,1502976,29,6,0.206896551724138,-15.121762326665,13.5953314263299,19.4171518380801
488305.2,1508483,29,11,0.379310344827586,-15.1081305126543,13.645133450517,11.0979056493216
493306.8,1510610,32,2,0.0625,-15.0618905926577,13.664382136929,13.3790429585022
493334.8,1504420,25,0,0,-15.0616171706532,13.6084106165391,27.9073494620848
496382.8,1503397,12,0,0,-15.0334383078111,13.5991657364986,27.672793246871
496572,1504953,40,6,0.15,-15.0316911671915,13.6132357606664,21.7328528400266
502810.8,1497501,27,4,0.148148148148148,-14.9740220556185,13.545853166365,15.5654348984763
506400.2,1496196,35,6,0.171428571428571,-14.9408510671109,13.5340472787706,19.2760116608956
507581.5,1496568,31,3,0.0967741935483871,-14.929932830459,13.5374082069845,15.7963483869918
514695,1489011,33,12,0.363636363636364,-14.8642295944965,13.4690482283121,20.2971292919711
515703.6,1491979,28,3,0.107142857142857,-14.8548947413597,13.4958807065469,12.1029332985813
517557.4,1489346,30,8,0.266666666666667,-14.8377812654872,13.4720617378021,26.9194624516218
517778.2,1491917,28,6,0.214285714285714,-14.835725345411,13.4953082623297,11.9650381948406
519828.9,1496607,41,11,0.268292682926829,-14.8167440745926,13.5377035490104,9.9268860461571
523537.9,1485623,28,7,0.25,-14.7825560321666,13.4383553991106,43.8254344096888
572287.4,1475233,37,11,0.297297297297297,-14.3324796891712,13.3436194894807,17.6853123290629
578792.4,1482075,30,17,0.566666666666667,-14.272228504554,13.405317664289,21.5339485976668
582180.7,1485578,29,17,0.586206896551724,-14.2408346301728,13.4368983025681,26.9245703350344
584543.5,1478674,29,9,0.310344827586207,-14.219210568185,13.374408466602,17.4774450503386
584652.9,1479619,62,21,0.338709677419355,-14.2181727309202,13.3829496614494,20.1521473393752
586254.5,1479185,35,7,0.2,-14.2033947600653,13.3789794487089,24.1700779102419
591297.8,1471011,27,15,0.555555555555556,-14.1570770051232,13.3049233007948,18.3658830341217
594599.6,1468916,11,9,0.818181818181818,-14.1266628146512,13.2858785497203,19.6761309418595
594610.2,1467776,15,14,0.933333333333333,-14.1266018185558,13.2755709463541,27.2438379328662
595119.5,1482908,31,13,0.419354838709677,-14.1214061992167,13.4123693366092,20.5387306876173
596181.5,1474316,30,19,0.633333333333333,-14.1118821447581,13.3346516196092,24.0960690122195
599259.5,1481671,30,19,0.633333333333333,-14.0832118847772,13.401049243998,18.0910725890042
600157.8,1470825,31,19,0.612903225806452,-14.0752890635798,13.3029572206348,52.05004915061
601494.5,1469864,29,19,0.655172413793103,-14.0629824610548,13.294223355707,52.8813502389492
602663,1489336,62,28,0.451612903225806,-14.0515069009844,13.4702336779315,13.199808767396
