year,ONI,season
1968,-0.633333333,1
1968,0.5,2
1969,1.033333333,1
1969,0.566666667,2
1970,0.366666667,1
1970,-0.733333333,2
1971,-1.3,1
1971,-0.8,2
1972,-0.333333333,1
1972,1.366666667,2
1973,1.166666667,1
1973,-1.3,2
1974,-1.533333333,1
1974,-0.433333333,2
1975,-0.6,1
1975,-1.233333333,2
1976,-1.166666667,1
1976,0.4,2
1977,0.533333333,1
1977,0.466666667,2
1978,0.4,1
1978,-0.4,2
1979,0.1,1
1979,0.166666667,2
1980,0.466666667,1
1980,0.066666667,2
1981,-0.433333333,1
1981,-0.233333333,2
1982,0.1,1
1982,1.166666667,2
1983,1.866666667,1
1983,-0.1,2
1984,-0.433333333,1
1984,-0.233333333,2
1985,-0.866666667,1
1985,-0.466666667,2
1986,-0.433333333,1
1986,0.433333333,2
1987,1.166666667,1
1987,1.6,2
1988,0.466666667,1
1988,-1.2,2
1989,-1.4,1
1989,-0.266666667,2
1990,0.2,1
1990,0.366666667,2
1991,0.3,1
1991,0.633333333,2
1992,1.6,1
1992,0.133333333,2
1993,0.3,1
1993,0.266666667,2
1994,0.133333333,1
1994,0.466666667,2
1995,0.733333333,1
1995,-0.5,2
1996,-0.766666667,1
1996,-0.333333333,2
1997,-0.333333333,1
1997,1.866666667,2
1998,1.833333333,1
1998,-1.066666667,2
1999,-1.3,1
1999,-1.133333333,2
2000,-1.4,1
2000,-0.533333333,2
2001,-0.533333333,1
2001,-0.133333333,2
2002,0,1
2002,0.9,2
2003,0.633333333,1
2003,0.2,2
2004,0.3,1
2004,0.6,2
2005,0.533333333,1
2005,-0.1,2
2006,-0.666666667,1
2006,0.3,2
2007,0.333333333,1
2007,-0.8,2
2008,-1.4,1
2008,-0.333333333,2
2009,-0.666666667,1
2009,0.566666667,2
2010,1.233333333,1
2010,-1.333333333,2
2011,-1.1,1
2011,-0.7,2
2012,-0.633333333,1
2012,0.3,2
2013,-0.3,1
2013,-0.366666667,2
2014,-0.333333333,1
2014,0.1,2
2015,0.6,1
2015,1.8,2
2016,2.133333333,1
2016,-0.533333333,2
2017,-0.1,1
2017,-0.1,2
