altid,timestamp,long_x,lat_y,used,dist_to_water,cos_aspect,sin_aspect,elevation,slope,hab_type,veg_class
OR52,,0,0,0,2292.907999,1.69466,1.71934,1412,1,2079,2
OR52,,0,0,0,2865.16903,1.69466,1.71934,1805,1,2079,2
OR52,,0,0,0,1694.167651,1.69466,1.71934,1754,0,2079,2
OR52,,0,0,0,3175.0067,1.69466,1.71934,1807,2,2079,2
OR52,,0,0,0,5116.192408,1.69466,1.71934,1773,2,2079,2
OR52,,0,0,0,2030.967391,1.69466,1.71934,1786,0,2079,2
OR52,,0,0,0,3246.424967,1,2,1812,1,2079,2
OR52,,0,0,0,486.493741,1.82894,1.55933,1939,3,2079,2
OR52,,0,0,0,911.5339739,1.69466,1.71934,1747,0,2079,2
OR52,,0,0,0,3321.19898,0.316444,1.7299,1782,2,2079,2
OR52,,0,0,0,3055.221464,1.69466,1.71934,1805,2,2079,2
OR52,,0,0,0,1405.453786,0.449541,0.165138,1905,6,2079,2
OR52,,0,0,0,3348.640796,0.141141,1.51221,1780,3,2081,4
OR52,,0,0,0,4765.827192,0.460573,1.84203,1708,4,2081,4
OR52,,0,0,0,3347.748697,1.44481,0.104374,1794,0,2081,4
OR52,,0,0,0,2345.101389,1.69466,1.71934,1409,1,2081,4
OR52,,0,0,0,960.2055573,1.01789,0.000159979,1847,2,2081,4
OR52,,0,0,0,2840.403553,1.69466,1.71934,1808,0,2081,4
OR52,,0,0,0,2735.876271,1.69466,1.71934,1816,1,2081,4
OR52,,0,0,0,5462.250814,0.689598,1.95061,1676,6,2081,4
OR52,,0,0,0,1299.599857,1.8991,1.43775,1861,3,2081,4
OR52,,0,0,0,2867.392,1.69466,1.71934,1811,1,2081,4
OR52,,0,0,0,4980.409143,1.69466,1.71934,1769,1,2081,4
OR52,,0,0,0,2928.251554,0.111973,0.540209,1454,3,2081,4
OR52,,0,0,0,6497.22945,0.676312,0.053836,1626,8,2081,4
OR52,,0,0,0,1206.675072,1.92493,0.619853,2011,12,2081,4
OR52,,0,0,0,5356.677075,1.93335,1.35898,1522,3,2081,4
OR52,,0,0,0,3039.387579,1.69466,1.71934,1811,2,2081,4
OR52,,0,0,0,5003.837465,1.69466,1.71934,1757,0,2081,4
OR52,,0,0,0,3718.314433,0.587832,1.91111,1478,2,2081,4
OR52,,0,0,0,938.8163971,1.69466,1.71934,1804,1,2081,4
OR52,,0,0,0,1029.749923,1.14057,1.99007,1851,3,2081,4
OR52,,0,0,0,4987.059125,1.69466,1.71934,1758,1,2081,4
OR52,,0,0,0,349.7101773,1.69466,1.71934,1811,1,2081,4
OR52,,0,0,0,2098.753824,0,1,1413,2,2081,4
OR52,,0,0,0,5691.445455,1.69466,1.71934,1705,0,2081,4
OR52,,0,0,0,6821.716218,1.69466,1.71934,1703,0,2081,4
OR52,,0,0,0,5545.858616,1.69466,1.71934,1704,0,2081,4
OR52,,0,0,0,152.1651238,1.69466,1.71934,1704,0,2081,4
OR52,,0,0,0,4047.67479,1.69466,1.71934,1703,0,2081,4
OR52,,0,0,0,3500.27544,1.69466,1.71934,1703,0,2081,4
OR52,,0,0,0,3999.795472,1.69466,1.71934,1704,0,2081,4
OR52,,0,0,0,1015.468656,1.69466,1.71934,1704,0,2081,4
OR52,,0,0,0,6409.197178,1.69466,1.71934,1703,0,2081,4
OR52,,0,0,0,3545.933722,1.69466,1.71934,1705,0,2081,4
OR52,,0,0,0,4155.694638,1.69466,1.71934,1704,0,2081,4
OR52,,0,0,0,2541.159024,1.69466,1.71934,1704,0,2081,4
OR52,,0,0,0,1885.83379,0.364293,0.22807,1734,12,2081,4
OR52,,0,0,0,1254.81509,1.69466,1.71934,1704,0,2081,4
OR52,,0,0,0,3328.765278,1.69466,1.71934,1703,0,2081,4
OR52,,0,0,0,3410.079829,1.69466,1.71934,1705,0,2081,4
OR52,,0,0,0,1906.340695,1.69466,1.71934,1451,1,2081,4
OR52,,0,0,0,8071.569887,1.69466,1.71934,1704,0,2081,4
OR52,,0,0,0,3225.486692,1.69466,1.71934,1704,0,2081,4
OR52,,0,0,0,2313.548666,1.69466,1.71934,1704,0,2081,4
OR52,,0,0,0,2328.440677,1.69466,1.71934,1704,0,2081,4
OR52,,0,0,0,3030.306145,1.69466,1.71934,1705,0,2081,4
OR52,,0,0,0,4685.575519,1.69466,1.71934,1703,0,2081,4
OR52,,0,0,0,28.34445198,1.69466,1.71934,1711,0,2081,4
OR52,,0,0,0,4699.050415,1.69466,1.71934,1707,1,2081,4
OR52,,0,0,0,1805.120264,1.69466,1.71934,1704,0,2081,4
OR52,,0,0,0,7294.972319,1.69466,1.71934,1705,0,2081,4
OR52,,0,0,0,4015.774175,1.69466,1.71934,1704,0,2081,4
OR52,,0,0,0,803.6462379,1.69466,1.71934,1742,1,2181,7
OR52,,0,0,0,1339.074859,1.69466,1.71934,1751,0,2208,3
OR52,,0,0,0,1589.85497,1.69466,1.71934,1756,0,2208,3
OR52,,0,0,0,1289.003596,2,1,1859,2,2208,3
OR52,,0,0,0,2257.461884,1.69466,1.71934,1772,0,2208,3
OR52,,0,0,0,1467.239761,1.69466,1.71934,1756,0,2208,3
OR52,,0,0,0,3790.39353,1.69466,1.71934,1825,2,2208,3
OR52,,0,0,0,1791.644124,1.69466,1.71934,1875,2,2208,3
OR52,,0,0,0,1121.689109,1.96406,0.734314,2005,7,2208,3
OR52,,0,0,0,1218.873995,0.0127589,1.15923,1913,5,2208,3
P001,,0,0,0,12877.24192,0.0625747,1.34819,2040,11,2011,3
P001,,0,0,0,12879.17053,0.205362,1.60708,1985,9,2011,3
P001,,0,0,0,9966.471897,0.858579,1.98995,2398,24,2011,3
P001,,0,0,0,5676.386015,1.83761,0.453732,2153,9,2011,3
P001,,0,0,0,10654.40641,0.186648,0.418227,2159,5,2011,3
P001,,0,0,0,5723.926167,0.6396,1.9328,2235,16,2011,3
P001,,0,0,0,1308.86238,0.598339,0.0842118,2451,23,2011,3
P001,,0,0,0,5647.752532,1.48883,0.127622,2147,12,2011,3
P001,,0,0,0,4594.64909,1.08181,1.99665,2162,16,2019,3
P001,,0,0,0,1545.619734,0.992972,2.46763E-05,2151,2,2019,3
P001,,0,0,0,2223.407123,0.928186,1.99742,2281,27,2019,3
