x,y,elevs,heights
300,22,1710.539063,8.598391244
301,48,1788.528198,9.090682924
301,136,2163.594727,11.4547729
301,156,2238.842041,11.42625004
301,166,2294.609619,11.2194622
301,173,2346.473633,12.40659804
301,193,2511.390625,12.6188243
302,60,1835.427979,8.786693071
303,6,1582.00061,8.350529274
303,67,1861.359497,9.758551284
303,193,2542.961426,13.35558005
304,30,1763.137451,8.905285236
304,137,2196.045898,10.58547015
304,152,2202.238037,11.82950341
305,10,1614.446777,7.60471423
306,33,1758.742798,8.721365861
308,12,1621.717773,8.157310197
308,80,1809.544556,9.667614872
308,193,2518.107666,12.0999464
309,21,1683.125366,9.156994849
309,79,1842.05603,9.19566587
310,60,1841.457764,8.296844131
311,96,1976.187988,9.898953745
311,122,2043.755249,10.0968896
311,171,2290.500244,10.29917225
312,22,1673.454224,8.167788926
312,41,1743.369751,9.265510946
312,44,1750.815918,8.791274082
312,54,1809.849243,8.940303327
313,30,1694.824707,8.481397217
313,123,2040.756714,10.3224986
313,171,2295.563477,11.14820402
314,79,1817.122925,8.344640969
314,166,2274.679199,10.76597895
315,112,2036.26062,10.61456311
316,107,1959.357666,9.437178438
316,117,2052.316162,11.17354364
316,144,2246.641113,11.12713263
317,7,1579.755737,7.408934467
318,108,1984.091309,9.848570481
318,146,2220.304688,11.04545003
318,193,2485.460693,12.43340521
319,33,1759.348877,8.984756119
319,66,1810.383667,10.08049007
320,78,1821.518921,9.317097478
320,125,2116.90332,10.33637909
321,96,1952.345215,9.050079334
321,190,2465.757568,12.28561369
322,72,1786.726685,8.383363394
322,82,1846.593506,9.889726943
322,93,1934.288208,9.155670095
322,132,2145.773682,10.55735028
323,48,1833.939941,9.731093581
325,9,1617.669067,8.797683169
325,23,1629.682129,7.932156765
326,72,1777.47998,9.224561345
326,78,1758.529175,8.087192126
326,120,2073.056885,10.3712055
327,171,2338.745605,11.18828403
328,19,1619.68042,7.464556987
328,54,1884.059937,8.582642176
328,81,1818.954468,9.123450697
329,43,1805.55896,8.461763791
329,150,2245.509766,11.33578949
331,149,2238.240234,10.55990586
332,25,1655.15686,8.668827876
332,88,1874.460693,9.625514957
332,162,2244.087402,10.22952557
334,18,1631.723389,7.611078236
335,26,1634.131714,7.433184039
335,33,1699.996338,9.104032504
335,138,2207.721191,11.7926234
336,112,2082.835449,9.688427782
336,185,2484.985352,12.05992156
336,186,2475.20874,11.79252978
337,196,2491.605225,12.3085342
338,4,1510.899414,7.994249722
338,80,1782.203003,8.761636898
338,123,2127.351074,10.74879942
338,160,2286.621582,11.89172786
338,192,2534.020752,12.48086655
340,185,2469.397461,11.95916965
341,10,1551.412598,7.424778466
341,22,1628.94873,7.9933749
341,129,2133.040771,11.02377487
341,138,2162.861328,10.21951973
342,163,2284.889893,11.71917939
343,118,2092.485352,10.68593166
343,192,2543.825195,12.59736533
344,43,1751.262085,7.601452593
344,50,1784.762817,8.885744252
344,84,1841.078735,9.750474844
344,163,2336.587402,11.49386346
344,188,2509.255127,12.77521321
346,17,1578.610107,7.591588763
346,188,2482.201416,11.87170481
349,12,1582.46167,7.191658038
350,14,1575.657715,8.538137632
350,103,2024.526001,10.0360759
350,192,2494.848633,12.10368709
