Created Date,Name,Species,Primary Breed,Sex,Age (Months),Age Group,Primary Color,Days in Custody,Days on Site,Current Weight,Attributes
03/13/2020,Luna,Dog,"Pinscher, Miniature",Female,146,Senior (8+years),Black,1,1,9.4 lbs,Angel Pet
03/13/2020,Luna,Dog,"Pinscher, Miniature",Female,146,Senior (8+years),Black,2,2,9.4 lbs,Angel Pet
03/13/2020,Luna,Dog,"Pinscher, Miniature",Female,146,Senior (8+years),Black,1,1,9.4 lbs,Angel Pet
01/30/2020,BUDDY,Dog,"Terrier, Yorkshire, Yorkie",Male,122,Senior (8+years),Brown,1,1,,
03/05/2020,BUDDAH,Cat,Domestic Longhair,Female,74,Adult Cat (5-10 years),White,3,3,11.38 lbs,
03/05/2020,BUDDAH,Cat,Domestic Longhair,Female,74,Adult Cat (5-10 years),White,14,14,11.38 lbs,
02/05/2020,SASSY,Dog,Rottweiler,Female,106,Senior (8+years),Black,1,1,,
01/27/2020,Biscuit,Dog,"Terrier, Jack Russell",Female,188,Senior (8+years),White,1,1,25.4 lbs,
01/27/2020,Biscuit,Dog,"Terrier, Jack Russell",Female,188,Senior (8+years),White,1,1,25.4 lbs,
02/07/2020,Frankie,Dog,Beagle,Male,183,Senior (8+years),Brown,1,1,31 lbs,
02/07/2020,Frankie,Dog,Beagle,Male,183,Senior (8+years),Brown,1,1,31 lbs,
01/27/2020,Suki,Cat,Domestic Medium Hair,Female,99,Adult Cat (5-10 years),Tan,1,1,8.4 lbs,Angel Pet
01/27/2020,Suki,Cat,Domestic Medium Hair,Female,99,Adult Cat (5-10 years),Tan,1,1,8.4 lbs,Angel Pet
02/10/2020,Cayley,Dog,"Chihuahua, Short Coat",Female,67,Adult Dog (5 months-8 years),Tan,1,1,,
03/05/2020,Redneck,Dog,"Dachshund, Standard Smooth Haired",Male,69,Adult Dog (5 months-8 years),Brown,1,1,,
04/13/2021,Boombox,Dog,Boxer,Female,75,Adult Dog (5 months-8 years),Brown,28,28,70.8 lbs,"Hiking Buddies Approved,D2D Required,Kids under 10 meet first,No Cats,No kids under 6"
02/10/2020,Ginger,Dog,"Dachshund, Standard Smooth Haired",Female,206,Senior (8+years),Black,1,1,15 lbs,Angel Pet
02/10/2020,Ginger,Dog,"Dachshund, Standard Smooth Haired",Female,206,Senior (8+years),Black,1,1,15 lbs,Angel Pet
02/10/2020,Ginger,Dog,"Dachshund, Standard Smooth Haired",Female,206,Senior (8+years),Black,1,1,15 lbs,Angel Pet
02/10/2020,Ginger,Dog,"Dachshund, Standard Smooth Haired",Female,206,Senior (8+years),Black,1,1,15 lbs,Angel Pet
02/10/2020,Ginger,Dog,"Dachshund, Standard Smooth Haired",Female,206,Senior (8+years),Black,1,1,15 lbs,Angel Pet
01/22/2020,Mochi,Dog,"Chihuahua, Short Coat",Female,75,Adult Dog (5 months-8 years),Brown,1,1,,
03/10/2020,Yara,Dog,"Chihuahua, Short Coat",Female,81,Adult Dog (5 months-8 years),Brown,1,1,,
01/29/2020,Harry,Dog,"Chihuahua, Short Coat",Male,83,Adult Dog (5 months-8 years),Black,1,1,,
02/21/2020,Axel,Dog,"Terrier, American Pit Bull",Male,59,Adult Dog (5 months-8 years),Brown,166,144,70 lbs,"Hiking Buddies Approved,Adult-Only Home Preferred,Goodie Bag at Front Desk,Kids under 12 meet first,No Cats,No Farm Animals,No kids under 10,No Small Animals,PUPS Graduate,Single Dog Home"
02/21/2020,Axel,Dog,"Terrier, American Pit Bull",Male,59,Adult Dog (5 months-8 years),Brown,1,1,70 lbs,"Hiking Buddies Approved,Adult-Only Home Preferred,Goodie Bag at Front Desk,Kids under 12 meet first,No Cats,No Farm Animals,No kids under 10,No Small Animals,PUPS Graduate,Single Dog Home"
02/21/2020,Axel,Dog,"Terrier, American Pit Bull",Male,59,Adult Dog (5 months-8 years),Brown,52,52,70 lbs,"Hiking Buddies Approved,Adult-Only Home Preferred,Goodie Bag at Front Desk,Kids under 12 meet first,No Cats,No Farm Animals,No kids under 10,No Small Animals,PUPS Graduate,Single Dog Home"
02/10/2020,Charlie,Dog,"Collie, Border",Male,64,Adult Dog (5 months-8 years),Black,1,1,,
02/10/2020,Charlie,Dog,"Collie, Border",Male,64,Adult Dog (5 months-8 years),Black,1,1,,
07/10/2021,Asia,Dog,"Terrier, American Pit Bull",Female,67,Adult Dog (5 months-8 years),Brown,48,48,64 lbs,"Adult-Only Home ,Bite History,No Cats,No kids under 12,No Small Animals,Single Dog Home"
02/29/2020,Mace,Dog,Beagle,Male,127,Senior (8+years),Black,1,1,,
01/20/2020,Della,Dog,"Spaniel, American Cocker",Female,79,Adult Dog (5 months-8 years),Brown,2,2,,
01/29/2020,MOPSY,Dog,"Poodle, Toy",Female,72,Adult Dog (5 months-8 years),White,1,1,,
