,NDVI,rain,rodents,date
1,0.181375,39.3,445.864303,3/15/92
2,0.2434,29.4,491.1765847,4/15/92
3,0.2185,20.4,384.7876379,5/15/92
4,0.2177,0,439.2564815,6/15/92
5,0.2078,82.6,391.8682598,7/15/92
6,0.22015,19.1,430.8874783,8/15/92
7,0.2037,21.6,506.9461514,9/15/92
8,0.1884,27.9,497.3319401,10/15/92
9,0.16555,0,385.9952362,11/15/92
10,0.0976,69.6,274.6585323,12/15/92
11,0.149,137.3,336.6771936,1/15/93
12,0.17265,61.9,236.9169253,2/15/93
13,0.196,1,542.458286,3/15/93
14,0.1984,0,252.9089695,4/15/93
15,0.1741,0,327.4559628,5/15/93
16,0.16875,0,289.2252547,6/15/93
17,0.1506,3,270.6320603,7/15/93
18,0.161,69.4,233.1178921,8/15/93
19,0.1938,0,251.41222,9/15/93
20,0.1685,10.4,291.3375646,10/15/93
21,0.1522,23.1,379.8174446,11/15/93
22,0.1408,8.7,297.573474,12/15/93
23,0.1327,3.3,230.4345923,1/15/94
24,0.1242,18.82463768,290.1377307,2/15/94
25,0.1345,12.7,362.6230777,3/15/94
26,0.1288,9.6,494.7767791,4/15/94
27,0.1322,7.1,305.2035654,5/15/94
28,0.1287,0,206.2112838,6/15/94
29,0.1308,99.8,220.6063177,7/15/94
30,0.1327,19.3,209.7074608,8/15/94
31,0.1601,1,203.028078,9/15/94
32,0.138,22.6,411.8435309,10/15/94
33,0.1302,46,328.1606419,11/15/94
34,0.1384,67.2,308.6888116,12/15/94
35,0.1476,40.4,270.2603171,1/15/95
36,0.2257,34.5,334.9477608,2/15/95
37,0.335175,11.9,333.9308194,3/15/95
38,0.27855,4.1,329.9562194,4/15/95
39,0.206675,0,278.0419644,5/15/95
40,0.1937,0,355.9626076,6/15/95
41,0.2001,34,499.0719297,7/15/95
42,0.1993,86.7,525.8139483,8/15/95
43,0.2243,41,552.5277148,9/15/95
44,0.2526,0,654.9873041,10/15/95
45,0.2171,8.9,621.9463009,11/15/95
46,0.19765,10.7,523.260246,12/15/95
47,0.1681,0,692.1043277,1/15/96
48,0.1618,20.9,736.0760294,2/15/96
49,0.15285,0.5,547.1445269,3/15/96
50,0.147,0,836.0336997,4/15/96
51,0.1412,0,521.4166612,5/15/96
52,0.1556,41.1,574.061078,6/15/96
53,0.21985,59.5,415.7896823,7/15/96
54,0.22245,65.6,363.9831441,8/15/96
55,0.221075,54.7,720.4196527,9/15/96
56,0.2105,47.8,628.5640826,10/15/96
57,0.1582,12.7,669.8437621,11/15/96
58,0.165,6.1,666.5346377,12/15/96
59,0.1723,29.9,908.740837,1/15/97
60,0.1873,32.3,1150.947036,2/15/97
61,0.1976,3.3,1417.541893,3/15/97
62,0.1875,0,1142.465582,4/15/97
63,0.1601,14.3,1130.590511,5/15/97
64,0.1611,3,1176.747134,6/15/97
65,0.15295,11.9,1100.617376,7/15/97
66,0.21005,66.3,1055.983888,8/15/97
67,0.18135,50.5,962.7922476,9/15/97
68,0.16765,26.4,898.4198532,10/15/97
69,0.1376,28.2,859.9257884,11/15/97
70,0.1417,70.9,709.0618379,12/15/97
71,0.1389,3.3,921.588529,1/15/98
72,0.1703,39,895.3240671,2/15/98
73,0.1727,41.2,978.3632599,3/15/98
74,0.1987,0,625.48653,4/15/98
75,0.16695,0,1044.353167,5/15/98
76,0.15535,3,665.3999961,6/15/98
77,0.1929,45,619.0028864,7/15/98
78,0.19065,18.6,618.1713875,8/15/98
79,0.18235,18.8,758.9398914,9/15/98
80,0.1577,6.6,693.0377246,10/15/98
81,0.17435,6.2,707.8668295,11/15/98
82,0.2238,8.9,664.7074061,12/15/98
83,0.18615,0,793.9615283,1/15/99
84,0.1496,0,738.873913,2/15/99
85,0.1346,3,751.9789087,3/15/99
86,0.1241,0,819.8659148,4/15/99
87,0.1292,0,672.0901993,5/15/99
88,0.1266,15.3,516.0834757,6/15/99
89,0.142225,105.7,328.0348305,7/15/99
90,0.332,64.8,234.0105078,8/15/99
91,0.28275,3.3,139.9861852,9/15/99
92,0.2044,0,357.853379,10/15/99
93,0.1713,0,492.0692134,11/15/99
94,0.15445,0,386.3292069,12/15/99
95,0.1516,0,627.2448675,1/15/00
96,0.1433,1.8,740.8388196,2/15/00
97,0.137075,0.8,706.5291285,3/15/00
98,0.1266,0,701.3737482,4/15/00
99,0.1241,0,718.663541,5/15/00
100,0.1288,95.3,735.9533338,6/15/00
101,0.1733,17.8,694.1619877,7/15/00
102,0.1599,56.3,760.1468061,8/15/00
103,0.1578,0,654.8352148,9/15/00
104,0.1431,114.6,635.5911833,10/15/00
105,0.1756,58.4,616.3471518,11/15/00
106,0.2449,0,499.7377261,12/15/00
107,0.31,20.4,444.557485,1/15/01
108,0.34615,10.4,317.4965298,2/15/01
109,0.3037,7.9,561.6138423,3/15/01
