ID,Sex,Used,JulianDay,Easting,Northing,elevation,shrub,pfg,afg,tree
209,F,1,150,602606.3935,5242239.971,691,1,18,2,1
209,F,1,151,602798.3339,5242372.269,694,0,34,3,0
209,F,1,153,604346.412,5240870.986,698,0,27,4,0
209,F,1,154,605456.3208,5238839.754,691,0,33,3,0
209,F,1,155,605366.0074,5238645.824,670,0,47,0,0
209,F,1,156,605404.6932,5238977.787,704,0,35,1,0
209,F,1,157,605687.9685,5238911.715,721,0,10,2,0
209,F,1,158,605870.3982,5235152.053,708,0,65,7,0
209,F,1,159,605816.1238,5235351.176,693,0,85,1,0
209,F,1,160,605137.6287,5234187.386,681,6,38,16,6
209,F,1,161,607305.6323,5227082.958,745,0,51,1,0
209,F,1,162,609858.739,5222711,687,3,60,6,3
209,F,1,163,609954.1541,5222596.047,703,6,23,3,6
209,F,1,164,609863.2509,5222672.176,692,0,58,3,0
209,F,1,165,610051.1924,5222475.568,726,0,39,2,0
209,F,1,167,609987.4454,5222477.719,711,0,34,3,0
209,F,1,168,609949.4815,5222602.63,703,8,43,3,8
209,F,1,169,609942.3283,5222620.284,704,8,43,3,8
209,F,1,170,609992.4632,5222656.787,693,27,53,5,27
209,F,1,171,609830.6471,5222712.703,680,3,60,4,3
209,F,1,172,609922.2456,5222639.921,704,2,47,2,2
209,F,1,173,608841.2361,5225502.456,744,5,22,3,5
209,F,1,174,607318.3294,5227093.193,745,0,51,2,0
209,F,1,175,607258.8685,5227363.354,735,0,40,4,0
209,F,1,176,607362.438,5227042.857,705,0,25,1,0
209,F,1,177,607543.496,5227212.893,734,1,40,2,1
209,F,1,178,605674.082,5235549.838,696,0,36,0,0
209,F,1,179,605690.0277,5235462.304,662,3,51,5,3
209,F,1,180,605627.8585,5235637.942,688,0,48,5,0
209,F,1,181,605057.1974,5239507.397,702,0,41,6,0
209,F,0,150,605791.8908,5254117.521,688,0,35,1,0
209,F,0,151,606529.469,5265966.347,688,0,52,0,0
209,F,0,153,629472.8806,5261701.986,779,0,98,0,0
209,F,0,154,615505.1366,5262827.752,659,12,52,2,12
209,F,0,155,606825.6712,5231902.053,725,0,82,2,0
209,F,0,156,633451.1446,5262623.423,806,0,4,0,0
209,F,0,157,621496.692,5258350.007,696,45,26,3,45
209,F,0,158,612462.1493,5267108.558,645,0,31,3,0
209,F,0,159,606348.4369,5222504.521,759,1,58,0,1
209,F,0,160,646513.2171,5267711.882,625,0,55,0,0
209,F,0,161,612213.4877,5224841.887,754,14,17,6,14
209,F,0,162,619109.1371,5261204.658,744,3,84,4,3
209,F,0,163,606293.5112,5222164.15,741,3,54,2,3
209,F,0,164,609237.6858,5257175.093,742,1,83,3,1
209,F,0,165,615957.0055,5236341.382,740,0,16,2,0
