Date, Water_Level
4/1/2013 4:12,1.096
4/2/2013 5:18,1.093
4/3/2013 6:36,1.118
4/4/2013 7:24,1.287
4/5/2013 8:42,1.062
4/6/2013 22:06,1.067
4/7/2013 22:48,1.16
4/8/2013 23:36,1.141
4/9/2013 0:00,1.17
4/10/2013 0:30,1.194
4/11/2013 1:00,1.192
4/12/2013 1:42,1.263
4/13/2013 2:18,1.062
4/14/2013 2:54,1.114
4/15/2013 3:48,1.202
4/16/2013 4:18,1.119
4/17/2013 5:06,0.934
4/18/2013 6:06,0.892
4/19/2013 6:48,0.85
4/20/2013 19:30,0.598
4/21/2013 9:00,0.871
4/22/2013 22:36,1.215
4/23/2013 23:18,1.323
4/24/2013 0:00,1.35
4/25/2013 0:00,1.393
4/26/2013 0:42,1.442
4/27/2013 1:48,1.52
4/28/2013 2:36,1.501
4/29/2013 3:18,1.446
4/30/2013 4:18,1.284
5/1/2013 5:12,1.254
5/2/2013 6:42,1.389
5/3/2013 7:42,1.453
5/4/2013 21:00,1.554
5/5/2013 10:00,1.439
5/6/2013 22:36,1.262
5/7/2013 23:24,1.295
5/8/2013 0:00,1.22
5/9/2013 0:06,1.173
5/10/2013 0:30,1.189
5/11/2013 1:12,1.179
5/12/2013 1:24,1.13
5/13/2013 2:36,1.058
5/14/2013 3:06,1.105
5/15/2013 3:42,1
5/16/2013 4:30,0.716
5/17/2013 5:30,0.713
5/18/2013 6:12,0.783
5/19/2013 7:00,0.824
5/20/2013 20:42,0.902
5/21/2013 21:36,1.076
5/22/2013 22:42,1.302
5/23/2013 23:30,1.432
5/24/2013 0:00,1.47
5/25/2013 0:24,1.508
5/26/2013 1:24,1.595
5/27/2013 2:18,1.575
5/28/2013 3:12,1.502
5/29/2013 4:00,1.379
5/30/2013 5:00,1.272
5/31/2013 5:48,1.151
6/1/2013 19:24,1.044
6/2/2013 20:12,1.049
6/3/2013 21:18,1.013
6/4/2013 22:00,1.067
6/5/2013 22:42,1.187
6/6/2013 23:48,1.344
6/7/2013 0:00,0.99
6/8/2013 0:06,0.959
6/9/2013 1:00,0.96
6/10/2013 1:12,0.986
6/11/2013 2:00,0.903
6/12/2013 2:48,0.876
6/13/2013 3:12,0.931
6/14/2013 3:48,0.81
6/15/2013 4:36,1.001
6/16/2013 5:36,0.988
6/17/2013 19:24,0.95
6/18/2013 20:24,0.949
6/19/2013 21:06,1.093
6/20/2013 22:30,1.436
6/21/2013 23:12,1.638
6/22/2013 0:00,1.57
6/23/2013 0:06,1.518
6/24/2013 1:00,1.548
6/25/2013 1:54,1.508
6/26/2013 2:48,1.427
6/27/2013 3:30,1.291
6/28/2013 4:18,1.126
6/29/2013 5:36,0.908
6/30/2013 18:48,0.922
7/1/2013 19:54,0.908
7/2/2013 20:24,0.853
7/3/2013 21:30,0.928
7/4/2013 22:18,1.007
7/5/2013 22:54,1.088
7/6/2013 23:48,1.078
7/7/2013 0:00,1.09
7/8/2013 0:24,1.109
7/9/2013 1:12,1.069
7/10/2013 1:42,1.037
7/11/2013 2:18,1.045
7/12/2013 3:00,1.007
7/13/2013 3:24,1.079
7/14/2013 4:48,1.036
7/15/2013 17:48,1.079
7/16/2013 18:48,1.075
7/17/2013 20:00,1.111
7/18/2013 20:42,1.277
7/19/2013 21:42,1.322
7/20/2013 23:12,1.378
7/21/2013 23:48,1.497
7/22/2013 0:00,1.46
7/23/2013 0:54,1.441
7/24/2013 1:42,1.49
7/25/2013 2:24,1.566
7/26/2013 3:06,1.411
7/27/2013 4:00,1.337
